role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,is_financial_instrument,climate_relevance,secondary_category
individual,,"Commit $188 million in equity-focused climate interventions including building retrofits, air quality monitoring expansion, and planting over 75,000 trees.","To kickstart the implementation of my administration's climate strategy, we are investing $188 million in equity-focused interventions, spanning building retrofits, the expansion of the air quality monitoring network, to the planting of over 75,000 trees. The sum of these actions represents the beginning of our transition to a climate just society, the future of which is defined in this document.",Letter from the MAYOR,"This is a concrete public investment commitment with a specified funding amount and named interventions, so it qualifies as a policy. It is broad but still actionable and funded.",Mitigation,True,direct,Nature-Based Solutions
individual,,"Plant 75,000 trees by 2026 under the City's tree equity strategy.","A diverse 70-member community-based working group from across Chicago neighborhoods supports the City's tree equity strategy. Together with city departments and community partners, Chicago has the goal of planting 75,000 trees by 2026.",TREE EQUITY,This is a quantified target with a deadline and a named city strategy. It clearly qualifies as a policy commitment.,Nature-Based Solutions,False,direct,Adaptation
individual,,"Continue the Chicago Department of Housing's Home Repair Program and leverage $26 million in new low-income housing retrofit projects to decarbonize, weatherize, and retrofit homes equitably.","Furthermore, continuing the Chicago Department of Housing's Home Repair Program and leveraging the $26 million in new low-income housing retrofit projects in the Chicago Recovery Plan to equitably decarbonize, weatherize, and retrofit homes can also provide critical long-term solutions for overburdened households.",AFFORDABLE ENERGY ACCESS,"This is a resource-backed intervention tied to a specific dollar amount and named retrofit actions. Although phrased as part of a broader discussion, it contains a concrete programmatic commitment.",Resource Efficiency,True,direct,Mitigation
individual,,Benchmark large buildings' energy use annually and require public energy ratings under the Benchmarking Ordinance and Chicago Energy Rating System.,"Benchmarking Ordinance, 2013: This ordinance supports greater transparency on energy usage across the building sector. Existing municipal, commercial, and residential buildings that are 50,000 square feet and larger are called to track energy use, report to the City annually, and verify data accuracy every three years. Chicago's benchmarking program was expanded in 2019 with the Chicago Energy Rating System, which assigns an energy rating to covered buildings based on their reporting and requires buildings to display the rating in a prominent location onsite.",CLIMATE FINANCING AND DELIVERY CAPACITY,This is a binding ordinance with explicit compliance requirements and thresholds. It is a clear regulatory climate policy.,Resource Efficiency,False,indirect,
individual,,Simplify administrative processes for rooftop solar installation through Chicago Solar Express.,"Chicago Solar Express, 2013: This program simplified the administrative process required to install rooftop solar.",CLIMATE FINANCING AND DELIVERY CAPACITY,This is a named city program focused on enabling solar deployment. The quote is brief but identifies a specific intervention.,Mitigation,False,direct,
individual,,Provide funding to support fleet operators and businesses in adopting clean vehicles through Drive Clean Chicago.,"Drive Clean Chicago, 2014: This  program provides funding to support Chicago fleet oper -ators and businesses for the adoption of clean vehicles.",CLIMATE FINANCING AND DELIVERY CAPACITY,"This is a named funding program for clean vehicle adoption, making it a financial instrument and a concrete policy.",Mitigation,True,direct,
individual,,Require City-assisted or specially approved development projects to include sustainable elements under the Sustainable Development Policy.,"Sustainable Development Policy, 2016: This policy requires development projects that receive financial assistance or special approvals from the City that include sustainable elements.",CLIMATE FINANCING AND DELIVERY CAPACITY,This is a binding policy requirement tied to development approvals and financial assistance. It is a clear regulatory mechanism.,Resource Efficiency,False,indirect,
individual,,Require EV-ready parking spaces in certain new residential and non-residential buildings under the EV Readiness Ordinance.,"EV Readiness Ordinance, 2020: This  ordinance requires new construction of a residential building with 5 or more units and on-site parking to have 20% of parking spaces EV Ready, and in non-residential buildings with 30 or more parking spaces to provide 20% of parking spaces as EV ready.",CLIMATE FINANCING AND DELIVERY CAPACITY,This is a binding ordinance with explicit thresholds and requirements. It clearly qualifies as a policy.,Mitigation,False,direct,
individual,,Approve $188 million for climate resiliency and mitigation as part of the Chicago Recovery Plan.,"In October 2021, Chicago's City Council approved $188 million for climate resiliency and mitigation, as part of Mayor Lori Lightfoot's $2.5 billion Chicago Recovery Plan. This historic level of investment toward climate action will provide funding for resilient infrastructure and green workforce development opportunities.",CLIMATE FINANCING AND DELIVERY CAPACITY,This is a formal budget appropriation with a specified amount and climate purpose. It is a broad financial policy instrument.,Mitigation,True,direct,Adaptation
parent,,Decarbonize Affordable Multifamily Buildings through funded retrofits and decarbonization of affordable housing units in underserved communities.,Decarbonize Affordable Multifamily Buildings        | $6 million         | Retrofit and decarbonize 200 multifamily affordable housing units in underserved communities. This programwill support existing building retrofits andin-unit inter - ventions led by Chicago's Department of Housing.,Chicago Recovery Plan funding overlap with Chicago's 2022 Climate Action Plan,"This is a named funded initiative with a budget and deliverable. It stands as a program umbrella in the investment table, though no sub-items are listed beneath it in the table itself.",Resource Efficiency,True,direct,Mitigation
