location,metric,value
Austin_US,composite_score,0.2968
Austin_US,extraction_f1,0.3118
Austin_US,extraction_precision,0.3152
Austin_US,extraction_recall,0.3085
Austin_US,role_agreement,0.5946
Austin_US,parent_attribution_accuracy,0.5349
Austin_US,primary_cat_agreement,0.0
Austin_US,financial_instrument_agreement,0.0
Austin_US,secondary_category_agreement,0.0
Austin_US,plus_one_coverage,0.3085
Austin_US,matched,74
Austin_US,unmatched_ext,18
Austin_US,unmatched_gt,20
Austin_US,Mitigation_score,0.0645
Austin_US,Mitigation_recall,0.2903
Austin_US,Mitigation_fpr,0.0
Austin_US,Adaptation_score,-0.3333
Austin_US,Adaptation_recall,0.1667
Austin_US,Adaptation_fpr,0.0
Austin_US,Resource_Efficiency_score,0.3333
Austin_US,Resource_Efficiency_recall,0.5
Austin_US,Resource_Efficiency_fpr,0.0
Austin_US,Nature_Based_Solutions_score,-0.05
Austin_US,Nature_Based_Solutions_recall,0.35
Austin_US,Nature_Based_Solutions_fpr,0.0
Chicago_US,composite_score,0.8044
Chicago_US,extraction_f1,0.7671
Chicago_US,extraction_precision,0.6588
Chicago_US,extraction_recall,0.918
Chicago_US,role_agreement,1.0
Chicago_US,parent_attribution_accuracy,1.0
Chicago_US,primary_cat_agreement,0.623
Chicago_US,financial_instrument_agreement,0.9016
Chicago_US,secondary_category_agreement,0.0
Chicago_US,plus_one_coverage,0.918
Chicago_US,matched,61
Chicago_US,unmatched_ext,24
Chicago_US,unmatched_gt,0
Chicago_US,Mitigation_score,0.4828
Chicago_US,Mitigation_recall,0.9111
Chicago_US,Mitigation_fpr,0.3947
Chicago_US,Adaptation_score,0.4
Chicago_US,Adaptation_recall,0.9333
Chicago_US,Adaptation_fpr,0.2778
Chicago_US,Resource_Efficiency_score,-1.0
Chicago_US,Resource_Efficiency_recall,1.0
Chicago_US,Resource_Efficiency_fpr,0.2692
Chicago_US,Nature_Based_Solutions_score,-0.3333
Chicago_US,Nature_Based_Solutions_recall,1.0
Chicago_US,Nature_Based_Solutions_fpr,0.6667
Dakar_SN,composite_score,0.4844
Dakar_SN,extraction_f1,0.2319
Dakar_SN,extraction_precision,0.1509
Dakar_SN,extraction_recall,0.5
Dakar_SN,role_agreement,0.4
Dakar_SN,parent_attribution_accuracy,1.0
Dakar_SN,primary_cat_agreement,0.6667
Dakar_SN,financial_instrument_agreement,1.0
Dakar_SN,secondary_category_agreement,0.0
Dakar_SN,plus_one_coverage,0.5
Dakar_SN,matched,15
Dakar_SN,unmatched_ext,38
Dakar_SN,unmatched_gt,1
Dakar_SN,Mitigation_score,-0.5556
Dakar_SN,Mitigation_recall,0.5
Dakar_SN,Mitigation_fpr,0.8333
Dakar_SN,Adaptation_score,-0.6333
Dakar_SN,Adaptation_recall,0.4444
Dakar_SN,Adaptation_fpr,0.9231
Dakar_SN,Resource_Efficiency_score,-0.6667
Dakar_SN,Resource_Efficiency_recall,1.0
Dakar_SN,Resource_Efficiency_fpr,0.75
Dakar_SN,Nature_Based_Solutions_score,0.0
Dakar_SN,Nature_Based_Solutions_recall,1.0
Dakar_SN,Nature_Based_Solutions_fpr,0.0
Geneva_CH,composite_score,0.6421
Geneva_CH,extraction_f1,0.1053
Geneva_CH,extraction_precision,0.0556
Geneva_CH,extraction_recall,1.0
Geneva_CH,role_agreement,1.0
Geneva_CH,parent_attribution_accuracy,1.0
Geneva_CH,primary_cat_agreement,1.0
Geneva_CH,financial_instrument_agreement,1.0
Geneva_CH,secondary_category_agreement,0.0
Geneva_CH,plus_one_coverage,1.0
Geneva_CH,matched,1
Geneva_CH,unmatched_ext,17
Geneva_CH,unmatched_gt,0
Geneva_CH,Mitigation_score,-0.8
Geneva_CH,Mitigation_recall,1.0
Geneva_CH,Mitigation_fpr,0.9
Geneva_CH,Adaptation_score,-1.0
Geneva_CH,Adaptation_recall,1.0
Geneva_CH,Adaptation_fpr,1.0
Geneva_CH,Resource_Efficiency_score,-1.0
Geneva_CH,Resource_Efficiency_recall,1.0
Geneva_CH,Resource_Efficiency_fpr,1.0
Geneva_CH,Nature_Based_Solutions_score,-1.0
Geneva_CH,Nature_Based_Solutions_recall,1.0
Geneva_CH,Nature_Based_Solutions_fpr,1.0
Hiroshima_JP,composite_score,0.3611
Hiroshima_JP,extraction_f1,0.0
Hiroshima_JP,extraction_precision,0.0
Hiroshima_JP,extraction_recall,0.0
Hiroshima_JP,role_agreement,0.7778
Hiroshima_JP,parent_attribution_accuracy,1.0
Hiroshima_JP,primary_cat_agreement,0.5556
Hiroshima_JP,financial_instrument_agreement,1.0
Hiroshima_JP,secondary_category_agreement,0.0
Hiroshima_JP,plus_one_coverage,0.0
Hiroshima_JP,matched,9
Hiroshima_JP,unmatched_ext,57
Hiroshima_JP,unmatched_gt,5
Hiroshima_JP,Mitigation_score,-0.8611
Hiroshima_JP,Mitigation_recall,0.0
Hiroshima_JP,Mitigation_fpr,1.0
Hiroshima_JP,Adaptation_score,-1.0
Hiroshima_JP,Adaptation_recall,1.0
Hiroshima_JP,Adaptation_fpr,1.0
Hiroshima_JP,Resource_Efficiency_score,-0.9412
Hiroshima_JP,Resource_Efficiency_recall,0.0
Hiroshima_JP,Resource_Efficiency_fpr,1.0
Hiroshima_JP,Nature_Based_Solutions_score,-1.0
Hiroshima_JP,Nature_Based_Solutions_recall,1.0
Hiroshima_JP,Nature_Based_Solutions_fpr,1.0
Kuwait_KW,composite_score,0.4858
Kuwait_KW,extraction_f1,0.1818
Kuwait_KW,extraction_precision,0.1774
Kuwait_KW,extraction_recall,0.1864
Kuwait_KW,role_agreement,0.84
Kuwait_KW,parent_attribution_accuracy,0.5556
Kuwait_KW,primary_cat_agreement,0.88
Kuwait_KW,financial_instrument_agreement,0.8
Kuwait_KW,secondary_category_agreement,0.0
Kuwait_KW,plus_one_coverage,0.1864
Kuwait_KW,matched,25
Kuwait_KW,unmatched_ext,37
Kuwait_KW,unmatched_gt,34
Kuwait_KW,Mitigation_score,-0.6
Kuwait_KW,Mitigation_recall,0.5
Kuwait_KW,Mitigation_fpr,1.0
Kuwait_KW,Adaptation_score,-0.7059
Kuwait_KW,Adaptation_recall,0.1163
Kuwait_KW,Adaptation_fpr,0.8571
Kuwait_KW,Resource_Efficiency_score,-0.5714
Kuwait_KW,Resource_Efficiency_recall,0.2857
Kuwait_KW,Resource_Efficiency_fpr,0.75
Kuwait_KW,Nature_Based_Solutions_score,-0.3333
Kuwait_KW,Nature_Based_Solutions_recall,0.4286
Kuwait_KW,Nature_Based_Solutions_fpr,0.5
Miami_Dade_US,composite_score,0.5984
Miami_Dade_US,extraction_f1,0.3248
Miami_Dade_US,extraction_precision,0.2111
Miami_Dade_US,extraction_recall,0.7037
Miami_Dade_US,role_agreement,0.8519
