location,gt_index,ext_index,gt_policy,gt_category,gt_role,produced_policy,produced_category,produced_role,grade,similarity,statement_match,role_match,category_match,reasoning
Austin_US,93,0,Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.,Mitigation,individual,Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.,Mitigation,individual,1,1.0,True,True,True,"The extracted policy exactly matches the ground-truth policy in scope (community-wide greenhouse gas emissions), commitment (will achieve), target (net-zero), and deadline (by 2040). No source excerpt is provided, so grading is based on agreement with the ground-truth."
Austin_US,0,8,"By 2030, achieve net-zero carbon for all new buildings, reduce emissions by 25% for existing buildings, and lower all natural gas-related emissions by 30%.",Mitigation,parent,"By 2030, achieve net-zero carbon for all new buildings, reduce emissions from existing buildings by 25%, and lower natural gas-related emissions by 30%.",Mitigation,individual,1,0.9941,True,False,True,"The extracted policy matches the ground-truth closely on scope, targets, and deadline. It preserves the 2030 timeline, net-zero carbon requirement for all new buildings, 25% emissions reduction for existing buildings, and 30% reduction in natural gas-related emissions. The wording difference ('from existing buildings' vs. 'for existing buildings' and omission of 'all' before natural gas-related emissions) does not materially change the commitment."
Austin_US,1,9,"Pursue a comprehensive energy poverty mitigation strategy through partnerships and programs so building repair, conservation, and renewable energy benefits flow to low-income communities and communities of color.",Mitigation,sub,"Pursue a comprehensive energy poverty mitigation strategy to ensure building repair, conservation, and renewable energy benefits flow to low-income communities and communities of color.",Adaptation,individual,1,0.964,True,False,False,"The extracted policy matches the ground-truth closely in scope and core commitment: pursuing a comprehensive energy poverty mitigation strategy so that building repair, conservation, and renewable energy benefits reach low-income communities and communities of color. The only omission is the delivery mechanism phrase 'through partnerships and programs,' but the main commitment and target populations are preserved accurately with no contradiction or hallucination."
Austin_US,2,10,"Enhance resident and building owner understanding of energy savings and climate impacts through outreach, culturally relevant communications, expanded benchmarking requirements, and better access to energy and water data.",Mitigation,sub,"Enhance resident and building owner understanding of energy savings opportunities and climate impacts through outreach, benchmarking expansion, and better access to energy and water data.",Resource Efficiency,individual,1,0.9642,True,False,False,"The extracted policy closely matches the ground-truth in scope and mechanism. It captures the core commitment to improve resident and building owner understanding of energy savings and climate impacts, and includes the same main delivery mechanisms: outreach, expanded benchmarking, and better access to energy and water data. It omits 'culturally relevant communications,' but otherwise preserves the substance without contradiction. Given the qualitative nature of the policy and the strong alignment on core elements, this is a meaningful match."
Austin_US,3,11,"Achieve net-zero carbon buildings through new energy codes, amendments, incentives, education, and collaboration with utilities to decarbonize new and existing buildings.",Mitigation,sub,"Achieve net-zero carbon buildings through new energy codes, amendments, incentives, electrification, and utility collaboration.",Mitigation,individual,1,0.9636,True,False,True,"The extracted policy is a strong match to the ground-truth. It preserves the same core commitment ('achieve net-zero carbon buildings') and the same principal delivery mechanisms: new energy codes, amendments, incentives, and utility collaboration. It replaces 'education' with 'electrification' and omits 'new and existing buildings,' which are minor specificity differences, but the overall scope, commitment strength, and mechanism set remain closely aligned. With no source excerpt available to test against document wording, this is best graded as a near-exact match rather than merely directionally correct."
Austin_US,4,12,Prioritize local emissions reduction investment and create equitable workforce development and training opportunities for emerging building technologies through partnerships serving low-income communities and communities of color.,Mitigation,sub,Create equitable workforce development and training opportunities for emerging building decarbonization technologies.,Mitigation,individual,0,0.7607,False,False,True,"The extracted policy captures one core element of the ground-truth: equitable workforce development and training for emerging building technologies. However, it omits key scope and mechanism details, including prioritizing local emissions reduction investment and delivering the training through partnerships serving low-income communities and communities of color. It is directionally correct but less specific and incomplete."
Austin_US,5,13,"By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.",Mitigation,parent,"By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.",Mitigation,individual,1,1.0,True,False,True,"The extracted policy exactly matches the ground-truth policy in scope, target, deadline, and subject matter: community-wide greenhouse gas emissions from refrigerant leakage reduced by 25% by 2030. It preserves the same level of specificity and commitment."
Austin_US,6,14,Develop a refrigerant destruction program that prices older high-ozone-depleting and high-global-warming-potential refrigerants to increase capture and safe destruction.,Mitigation,sub,Develop a refrigerant destruction program that prices older high-ozone-depleting and high-GWP refrigerants to increase capture and safe destruction.,Mitigation,individual,1,0.9911,True,False,True,"The extracted policy is effectively identical to the ground-truth policy in scope, mechanism, and commitment. It preserves the core action (develop a refrigerant destruction program), the pricing mechanism, the targeted substances (older high-ozone-depleting and high-global-warming-potential refrigerants, with high-GWP as a standard abbreviation), and the intended outcome (increase capture and safe destruction). No material details are missing or altered."
Austin_US,7,15,Follow revised building code developments and move forward with local code amendments and actions to encourage low- and no-GWP refrigerants as soon as feasible.,Mitigation,sub,Advance building code amendments and local action to allow and encourage low- and no-GWP refrigerants as soon as feasible.,Mitigation,individual,1,0.8858,True,False,True,"The extracted policy closely matches the ground-truth in scope, timing, and mechanism. It preserves the core commitment to advance local building code amendments and actions encouraging low- and no-GWP refrigerants 'as soon as feasible.' The omission of 'follow revised building code developments' is minor, and 'allow and encourage' is consistent with the intent of moving forward with amendments and actions."
Austin_US,8,16,"Partner with commercial refrigeration and HVAC stakeholders to create incentives for refrigerant leak detection, prevention, and repair.",Mitigation,sub,"Create incentives for refrigerant leak detection, prevention, and repair across commercial refrigeration and HVAC sectors.",Mitigation,individual,1,0.9024,True,False,True,"The extracted policy matches the ground-truth closely in scope and mechanism: it calls to create incentives for refrigerant leak detection, prevention, and repair in the commercial refrigeration and HVAC sectors. The only minor omission is the explicit phrasing 'Partner with ... stakeholders,' but the sectoral scope and core commitment are preserved. With no source excerpt to verify against, this is still a strong match to the ground-truth rather than a vague paraphrase."
Austin_US,9,17,"Create an awareness, education, and training campaign for HVAC providers and building stakeholders on refrigerant management and leak prevention, detection, and repair.",Mitigation,sub,"Create an awareness, education, and training campaign on refrigerant management for HVAC providers, building operators, and inspectors.",Mitigation,individual,0,0.9282,False,False,True,"The extracted policy matches the general intent of the ground-truth: an awareness, education, and training campaign on refrigerant management aimed at relevant building-sector actors. However, it omits key specificity from the ground-truth, namely the focus on leak prevention, detection, and repair. It also changes the stakeholder list from 'building stakeholders' to 'building operators and inspectors,' which is directionally similar but narrower/different. With no source excerpt provided to verify wording, this is a partial but imprecise match rather than a full one."
Austin_US,10,18,"Reduce and prevent refrigerant use to the extent possible, especially refrigerants with high global warming potential.",Mitigation,sub,"Reduce and prevent refrigerant use, especially high-GWP refrigerants, through design, code, and efficiency measures.",Mitigation,individual,0,0.8791,False,False,True,"The extracted policy matches the general intent of the ground-truth: reducing and preventing refrigerant use, especially high-GWP refrigerants. However, it adds specific mechanisms ('through design, code, and efficiency measures') that are not supported by the provided ground-truth, and it omits the qualifier 'to the extent possible,' which softens/defines the commitment. With no source excerpt to verify those added mechanisms, this is directionally correct but somewhat imprecise rather than an exact match."
Austin_US,11,19,"By 2030, reduce the embodied carbon footprint of building materials used in local construction by 40% from a 2020 baseline.",Mitigation,parent,"By 2030, reduce the embodied carbon footprint of building materials used in local construction by 40% from a 2020 baseline.",Mitigation,individual,1,1.0,True,False,True,"The extracted policy exactly matches the ground-truth policy in scope, quantified target, baseline, and deadline: a 40% reduction in embodied carbon of building materials used in local construction by 2030 from a 2020 baseline. No discrepancies or missing details are present."
Austin_US,12,20,"Develop City of Austin design and construction specifications and purchasing agreements for healthy, low-carbon buildings in partnership with other cities and states.",Mitigation,sub,"Develop City design and construction specifications and purchasing agreements for healthy, low-carbon buildings.",Mitigation,individual,0,0.8352,False,False,True,"The extracted policy captures the core action—developing design and construction specifications and purchasing agreements for healthy, low-carbon buildings—but it omits key specificity from the ground truth: that this is for the City of Austin and that it is to be done in partnership with other cities and states. With no source excerpt provided, there is no basis to verify stronger commitment language. Overall, it is directionally correct but missing important scope/mechanism details."
Austin_US,13,21,Enhance and integrate lower-carbon building materials and deconstruction practices into city incentive programs and transition voluntary guidance into development agreements over time.,Mitigation,sub,Integrate lower-carbon materials and deconstruction practices into City incentive programs and planning agreements over time.,Mitigation,individual,1,0.8966,True,False,True,"The extracted policy closely matches the ground-truth in scope and mechanism: it includes integrating lower-carbon materials and deconstruction practices into city incentive programs and planning/development agreements over time. While it omits the phrase 'enhance' and substitutes 'planning agreements' for 'development agreements,' the core commitment and trajectory from incentive programs toward more formal agreements over time are preserved. No contradiction or hallucination is present."
Austin_US,14,22,"Create a performance framework and educational programming to reduce the lifecycle and health impacts of building materials and construction practices, focusing on low-income communities and communities of color.",Mitigation,sub,Create a performance framework and educational programming on low-impact building materials and construction practices.,Mitigation,individual,0,0.9061,False,False,True,"The extracted policy matches the general intent and mechanism of the ground-truth: creating a performance framework and educational programming related to building materials and construction practices. However, it omits important specificity from the ground-truth, namely the goal to reduce lifecycle and health impacts and the explicit focus on low-income communities and communities of color. With no source excerpt provided, there is no basis to assess stronger contradiction, but the extraction is clearly incomplete rather than fully matching."
Austin_US,15,23,"Prioritize partnerships in local materials markets to decarbonize high-impact building materials such as glass, steel, aluminum, concrete, drywall, insulation, and carpet.",Mitigation,sub,Prioritize partnerships with local materials markets to decarbonize high-impact construction materials.,Mitigation,individual,1,0.8988,True,False,True,"The extracted policy matches the ground-truth closely in scope and commitment: it prioritizes partnerships with local materials markets to decarbonize high-impact materials. The only differences are minor wording changes ('with' vs 'in', 'construction materials' vs 'building materials') and omission of the illustrative list of materials, which does not change the core policy intent. No source document excerpt is provided to assess against original text, but relative to the ground-truth this is a strong match."
