metric,value
composite_score,0.7233
extraction_f1,0.7786
extraction_precision,0.7286
extraction_recall,0.8361
role_agreement,0.9804
parent_attribution_accuracy,0.7826
primary_cat_agreement,0.4314
financial_instrument_agreement,0.8824
secondary_category_agreement,0.0
plus_one_coverage,0.8361
matched,51
unmatched_ext,19
unmatched_gt,10
Mitigation_score,0.3571
Mitigation_recall,0.8444
Mitigation_fpr,0.3143
Adaptation_score,0.5
Adaptation_recall,0.8
Adaptation_fpr,0.2
Resource_Efficiency_score,-1.0
Resource_Efficiency_recall,1.0
Resource_Efficiency_fpr,0.2414
Nature_Based_Solutions_score,1.0
Nature_Based_Solutions_recall,1.0
Nature_Based_Solutions_fpr,0.0
