iteration,location,role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,financial_instrument,climate_relevance,secondary_category
1,Seattle_US,individual,,"Issue an Executive Order requiring City departments to assess GHG emissions impacts of plans, policies, and major investments, with an assessment framework defined by Oct 2018.","Issue an Executive Order directing City departments to assess the GHG emissions impact of City plans, policies, and major investments.

The Mayor will direct the Office of Sustainability & Environment to work with departments to define the types of projects to assess, the assessment method, and how to account for the broader costs of carbon, by October 2018.",Assess GHG Emissions Impact of City decisions,"Binding governance mechanism (Executive Order) requiring an assessment practice, with a specific deadline for defining the framework.",Mitigation,no,direct,
1,Seattle_US,individual,,"Require owners of nonresidential and multifamily buildings ≥20,000 sq ft to annually track and report energy performance; make reported data publicly available (updated 2016).","Adopted in 2010, Seattle's Energy Benchmarking Program (SMC 22.920) requires owners of nonresidential and multi-family buildings (20,000 square feet or larger) to track energy performance and annually report to the City. The policy was updated in 2016 to make reported data publicly available to further increase awareness of building energy use and support real estate market transformation.",Benchmarking,"Binding ordinance/program requirement (SMC) with clear threshold (20,000 sq ft) and annual reporting obligation; public disclosure update is a concrete policy change.",Resource Efficiency,no,indirect,
1,Seattle_US,individual,,Reduce passenger transportation emissions 82% by 2030.,"Passenger transportation emissions declined an average of 0.5 percent per year since 2008. To achieve the 2030 goal of reducing passenger transportation emissions 82 percent, Seattle would have needed to reduce emissions from passenger vehicles an average of 7.5 percent each year from 2008 onwards.",Changes in emissions since 2008 include:,"Explicit quantified sector target with a deadline year (2030), stated as a goal the city is aiming to achieve.",Mitigation,no,direct,
1,Seattle_US,individual,,Reduce building emissions 39% by 2030.,"Building emissions declined an average of 2.3 percent per year since 2008, which is on track to meet the goal of reducing emissions 39 percent by 2030 (2.2 percent per year). However, between 2012 and 2014 the pace of building emissions reductions has slowed to an average of 2.1 percent, and an analysis of anticipated reductions based on a current business-as-usual approach shows emissions in 2050 only 12 percent below 2008 levels.",Changes in emissions since 2008 include:,"Explicit quantified sector target with a deadline year (2030), stated as an emissions-reduction goal for buildings.",Mitigation,no,direct,
1,Seattle_US,individual,,Release a map/strategy for optimal EV charging infrastructure distribution in 2018 to guide public and private investment with an equity focus.,"Release map of optimal distribution of charging infrastructure in 2018.

The map will guide public and private investment in the network, based on a set of criteria, with a specific focus on equitable distribution of the city receiving significant public benefit when private entities lease space in the right of way.",Charging station network map & strategy,Time-bound deliverable (2018 map/strategy) to shape charging deployment; a concrete planning intervention supporting electrification.,Mitigation,no,direct,
1,Seattle_US,individual,,Scale Pay for Performance and pilot Energy Efficiency as a Service in up to 30 buildings to achieve deeper energy savings; pay incentives based on measured savings.,"Scale Pay for Performance efforts and pilot an innovative utility program exploring Energy Efficiency as a Service in up to 30 buildings to unlock greater levels of energy efficiency depth at scale.

Incentive payments are made over time based on measured energy savings and allow participants to bundle multiple projects and measures, across capital, operational & maintenance, and behavioral improvements.",City Light Whole Building Pay for Performance (P4P) Programs,Named utility program with a quantified pilot scale (up to 30 buildings) and explicit incentive payments—meets the intervention and funding/financial instrument criteria.,Resource Efficiency,yes,indirect,
1,Seattle_US,individual,,Pilot permitting of publicly available EV charging stations in the right-of-way on non-residential streets (initiated 2017) and review results mid-2018.,"To meet that need, in 2017, a pilot program was initiated to permit the installation of publicly-available electric vehicle charging stations on non-residential streets in urban villages, urban centers, and commercial streets.

Pilot program results will be reviewed in mid-2018.",Electric Vehicle Charging in the Right of Way,Specific pilot program and permitting intervention with a stated review timeline; concrete action to expand EV charging access.,Mitigation,no,direct,
1,Seattle_US,individual,,Pass an electric vehicle readiness ordinance in 2018 to ensure new construction/parking renovations include EV infrastructure.,"Pass a new electric vehicle readiness ordinance in 2018, which will ensure new construction or renovation of parking structures is built with electric vehicle infrastructure.

Requiring new construction to build charging stations and provide the electrical wiring needed for future stations will increase the adoption of electric vehicles and save substantial costs for future charging station installation.",Electric vehicle readiness ordinance for new construction,Regulatory commitment with a specified year (2018) and clear required infrastructure outcome for new/renovated parking.,Mitigation,no,direct,
1,Seattle_US,individual,,"Require new parking to be EV-ready by ensuring electrical capacity and showing conduit/equipment locations for future EV charging (Seattle Electrical Code amendment, 2017).","In 2017, the Seattle Electrical Code was amended to ensure new parking is built to facilitate future electric vehicle charging infrastructure. The code requires adequate electrical capacity to serve one electric vehicle charging station per parking space and that construction documents show the location of equipment and conduit for future installation of electric vehicles charging stations.",Electrical Code,Binding code amendment establishing requirements for EV charging readiness in new parking—clear regulatory mechanism.,Mitigation,no,direct,
1,Seattle_US,individual,,"Maintain and implement an advanced commercial energy code including emissions-related requirements (e.g., non-fossil heating or efficient windows in 2015 SEC) supported by an annual City Light grant.","The 2015 SEC includes criteria that address emissions, by requiring either non-fossil fuel-based heating or more efficient windows. Seattle City Light provides an annual grant to Seattle Department of Construction and Inspections to help make possible the work to develop and implement Seattle's advanced code.",Energy Code,Building code requirements explicitly addressing emissions plus a continuing grant to support code development/implementation; concrete regulatory and funding elements.,Mitigation,yes,direct,Resource Efficiency
