role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale
individual,,Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.,"Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.

Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.",NEW EMISSIONS GOAL FOR AUSTIN,"Quantified, time-bound community-wide GHG target (2040 net-zero), which is a core mitigation commitment."
parent,,Strategy 1: Green jobs and entrepreneurship.,"## Strategy 1: Green jobs and entrepreneurship

Create green jobs and entrepreneurship opportunities that advance the goals of this plan, expand economic opportunity and inclusion, and build agency and decision-making power in low-income communities and communities of color.",III. OVERARCHING STRATEGIES,"Named overarching strategy with multiple listed sub-actions ('How we'll get there'), functioning as an umbrella initiative."
sub,Strategy 1: Green jobs and entrepreneurship,Ensure an adequately educated workforce to install and maintain green technologies via a skill-up training program focused on low-income communities and communities of color.,"Ensure an adequately educated workforce to install and maintain new and existing green technologies and solutions through a skill-up training program specifically focused on low-
- income communities and communities of color.",III. OVERARCHING STRATEGIES,Specific intervention (skill-up training program) with defined target population; implementation action supporting climate solutions workforce.
sub,Strategy 1: Green jobs and entrepreneurship,Ensure permanent career pathways that pay a living wage and include accessibility supports such as childcare and considerations for formerly incarcerated people.,Ensure permanent career pathways that pay a living wage rather than temporary jobs. Include considerations for people who were formerly incarcerated and childcare services to ensure accessibility for working parents.,III. OVERARCHING STRATEGIES,Concrete workforce policy design features tied to the green jobs strategy; not merely aspirational.
sub,Strategy 1: Green jobs and entrepreneurship,Recruit from local communities of color to ensure diverse and equitable participation in green jobs sectors.,Recruit from local communities of color to ensure diverse and equitable participation in all levels of green jobs sectors.,III. OVERARCHING STRATEGIES,Specific recruitment commitment within a named strategy; equity-focused implementation mechanism.
sub,Strategy 1: Green jobs and entrepreneurship,Invest in local green businesses and target financial support for small businesses owned by people of color.,Invest in local green businesses and target financial support for small businesses owned by people of color.,III. OVERARCHING STRATEGIES,Explicit commitment to targeted financial support (a funding/investment mechanism) tied to green economy development.
sub,Strategy 1: Green jobs and entrepreneurship,Build upon the Austin Civilian Conservation Corps initiative to recruit and train economically disadvantaged community members through nonprofit partnerships.,Build upon the recent Austin Civilian Conservation Corps initiative to foster partnerships with nonprofit organizations to recruit and train economically disadvantaged community members.,III. OVERARCHING STRATEGIES,Specific programmatic action (build upon named initiative) with recruitment/training component.
parent,,Strategy 2: Prioritize local community initiatives.,"## Strategy 2: Prioritize local community initiatives

Recognize and support existing community-led organizations, businesses, and programs that can help achieve the goals in this plan while building a green and just economy and culture.",III. OVERARCHING STRATEGIES,Named overarching strategy with implied multiple actions; serves as umbrella for implementation approach.
parent,,Strategy 3: Regional collaboration.,"## Strategy 3: Regional collaboration

Create a Texas Climate Collaborative linking elected officials, City staff, and utility staff working to implement recently adopted climate plans in San Antonio, Houston, Dallas, and Austin.",III. OVERARCHING STRATEGIES,Named strategy establishing a specific collaborative body; clear institutional action.
sub,Strategy 3: Regional collaboration,"Create a Texas Climate Collaborative linking elected officials, City staff, and utility staff across major Texas cities and neighboring jurisdictions and counties.","Create a Texas Climate Collaborative linking elected officials, City staff, and utility staff working to implement recently adopted climate plans in San Antonio, Houston, Dallas, and Austin. Work with cities across the state and neighboring cities, such as Round Rock, Cedar Park, Buda, Pflugerville, San Marcos, and Kyle, and the five-county governments: Travis, Williamson, Hays, Bastrop, and Caldwell.",III. OVERARCHING STRATEGIES,Specific institutional mechanism (collaborative) and defined participants/geography; supports coordinated climate action.
sub,Strategy 3: Regional collaboration,Leverage existing networks and work through regional organizations (CAPCOG and CAMPO) to address climate change in their plans and programs.,"Leverage existing networks, such as C40 Cities, Climate Mayors, Urban Sustainability Directors Network, or the SPEER City Efficiency Leadership Council. Work through existing regional organizations such as the Capital Area Council of Governments and the Capital Area Metropolitan Planning Organization to consider and address climate change in their plans and programs.",III. OVERARCHING STRATEGIES,Concrete coordination actions specifying institutions and networks; more than general aspiration.
parent,,"Strategy 4: Local carbon reduction projects, carbon dioxide removal, and carbon offsets.","## Strategy 4: Local carbon reduction projects, carbon dioxide removal, and carbon offsets

Purchasing lower-cost carbon offsets - sometimes called 'carbon credits' - may be an option to cancel out direct emissions to achieve the net-zero greenhouse gas emissions target by 2040.",III. OVERARCHING STRATEGIES,Named strategy establishing a framework and rules for carbon offsets/CDR/local projects; umbrella with multiple ordered criteria.
sub,"Strategy 4: Local carbon reduction projects, carbon dioxide removal, and carbon offsets","Prioritize reducing local emissions by investing in local carbon reduction projects in Austin that avoid direct emissions, focusing on equity benefits and collaboration.","1. Reduce local emissions following the goals set in this plan by investing in local carbon reduction projects in Austin that avoid direct emissions, focusing on creating local equity benefits and a vibrant collaboration between the community and the City.",III. OVERARCHING STRATEGIES,Ordered decision criterion with a specific investment action; qualifies as a policy direction for implementation.
sub,"Strategy 4: Local carbon reduction projects, carbon dioxide removal, and carbon offsets",Support carbon dioxide removal projects in the Austin-Round Rock-San Marcos area to sequester as much CO2 as possible.,2. Support carbon dioxide removal projects in the Austin-Round Rock-San Marcos area to sequester as much CO2 as possible.,III. OVERARCHING STRATEGIES,Specific action to support CDR projects; direct mitigation via negative emissions.
sub,"Strategy 4: Local carbon reduction projects, carbon dioxide removal, and carbon offsets",Limit carbon offsets to no more than 10% of the baseline in any given year and reserve them for sectors where reductions are cost-prohibitive or impossible with existing technology.,"For any given year, carbon offsets should constitute no more than 10% of the baseline. This 10% should be reserved for sectors where emission reductions are cost-prohibitive or impossible to reduce with existing technology.",III. OVERARCHING STRATEGIES,Quantified constraint on offset use (10% cap) establishing a binding rule within the plan.
sub,"Strategy 4: Local carbon reduction projects, carbon dioxide removal, and carbon offsets","When offsets are used, purchase them as close to Austin as possible and from projects with additional environmental and equity benefits.","When carbon offsets are used:
- a. They should be purchased from projects as close to the Austin area as possible.
- b. They should be purchased from projects that create additional environmental and equity benefits.",III. OVERARCHING STRATEGIES,Operational procurement rules for offsets; concrete implementation guidance.
sub,"Strategy 4: Local carbon reduction projects, carbon dioxide removal, and carbon offsets",Prioritize offsets from negative emissions over avoided emissions and phase out avoided emissions offsets by 2040.,"Carbon offsets from negative emissions should be prioritized over avoided emissions, and the use of avoided emissions should be phased out by 2040.",III. OVERARCHING STRATEGIES,Time-bound rule (phase out by 2040) specifying offset quality hierarchy.
individual,,"By 2030, achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30%.","By 2030, achieve net-zero carbon* for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30%.",SUSTAINABLE BUILDINGS,"Quantified sectoral targets with deadline (2030) covering new buildings, existing buildings, and natural gas emissions."
parent,,"Sustainable Buildings Goal 1, Strategy 1: Ensure benefits flow to low-income communities and communities of color.","## Strategy 1: Ensure benefits flow to low-income communities and communities of color

Pursue a comprehensive energy poverty mitigation strategy by partnering with trusted community organizations, affordable housing developers, and schools in equitable outreach and program development.",SUSTAINABLE BUILDINGS,Named strategy with multiple sub-actions under 'How we'll get there'; umbrella for implementation steps.
sub,"Sustainable Buildings Goal 1, Strategy 1: Ensure benefits flow to low-income communities and communities of color",Support and expand upon existing low-income weatherization programs.,Create partnerships and work with any future Community Climate Ambassador cohorts to gain feedback and insights on improving program accessibility. Support and expand upon existing low-income weatherization programs.,SUSTAINABLE BUILDINGS,Specific program expansion commitment (weatherization) tied to equity and building performance.
sub,"Sustainable Buildings Goal 1, Strategy 1: Ensure benefits flow to low-income communities and communities of color",Encourage reducing impervious cover and shading for public infrastructure to ease the urban heat island effect and reduce heat impacts.,"Encourage reducing impervious cover and shading for infrastructure such as benches, public transportation facilities, public water fountains, and charging stations to ease the urban heat island effect and reduce heat impacts on residents.",SUSTAINABLE BUILDINGS,Specific design/operations intervention explicitly targeting urban heat island; adaptation-oriented measure.
parent,,"Sustainable Buildings Goal 1, Strategy 2: Enhance understanding of energy consumption.","## Strategy 2: Enhance understanding of energy consumption

Enhance resident and building owner understanding of energy savings opportunities, benefits, and climate impacts of energy consumption.",SUSTAINABLE BUILDINGS,"Named strategy with multiple implementation actions (data access, benchmarking expansion, outreach)."
sub,"Sustainable Buildings Goal 1, Strategy 2: Enhance understanding of energy consumption",Expand benchmarking requirements for all existing buildings and improve access to energy and water data.,"This will be done through direct outreach, culturally relevant communications, expanding benchmarking requirements for all existing buildings, and better access to energy and water data.",SUSTAINABLE BUILDINGS,Specific regulatory/administrative action (benchmarking expansion; data access) supporting emissions reductions.
sub,"Sustainable Buildings Goal 1, Strategy 2: Enhance understanding of energy consumption",Create streamlined processes for building owners to access whole-building utility data to support energy and water reduction goals.,"Expand information access for utility consumption through billing systems, mobile and web applications, and reporting requirements. Create streamlined processes for building owners to access whole-building utility data to support energy and water reduction goals.",SUSTAINABLE BUILDINGS,Concrete administrative mechanism enabling benchmarking and reductions; not just education.
