metric,value
composite_score,0.1295
extraction_f1,0.2186
extraction_precision,0.2247
extraction_recall,0.2128
role_agreement,0.1667
parent_attribution_accuracy,0.0
primary_cat_agreement,0.0
financial_instrument_agreement,0.0
secondary_category_agreement,0.0
plus_one_coverage,0.2128
matched,66
unmatched_ext,23
unmatched_gt,28
Mitigation_score,-0.1774
Mitigation_recall,0.1935
Mitigation_fpr,0.0
Adaptation_score,-0.6667
Adaptation_recall,0.0
Adaptation_fpr,0.0
Resource_Efficiency_score,0.1667
Resource_Efficiency_recall,0.1667
Resource_Efficiency_fpr,0.0
Nature_Based_Solutions_score,-0.05
Nature_Based_Solutions_recall,0.35
Nature_Based_Solutions_fpr,0.0
