metric,value
composite_score,0.2625
extraction_f1,0.1479
extraction_precision,0.0996
extraction_recall,0.2872
role_agreement,0.2258
parent_attribution_accuracy,0.0526
primary_cat_agreement,0.5591
financial_instrument_agreement,0.6882
secondary_category_agreement,0.0
plus_one_coverage,0.2872
matched,93
unmatched_ext,178
unmatched_gt,1
Mitigation_score,-0.5732
Mitigation_recall,0.2903
Mitigation_fpr,0.8836
Adaptation_score,-0.6667
Adaptation_recall,0.1667
Adaptation_fpr,0.9474
Resource_Efficiency_score,-0.8537
Resource_Efficiency_recall,0.1667
Resource_Efficiency_fpr,0.9344
Nature_Based_Solutions_score,-0.4783
Nature_Based_Solutions_recall,0.35
Nature_Based_Solutions_fpr,0.8889
