iteration,location,role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,financial_instrument,climate_relevance,secondary_category
1,Seattle_US,parent,,Transportation initiatives to reduce GHGs by replacing fossil fuel vehicles with electric options and shifting trips to shared and active modes.,"Two-thirds of Seattle's GHG emissions result from road transportation. Additionally, transportationrelated fossil fuels are a significant source of air pollution, particularly impacting people of color who are more likely to live near roadways and other pollution sources. As Seattle rapidly grows, policies must aim to rapidly replace fossil fuel vehicles with fully electric options and move single occupancy trips to shared transportation.",Near-Term Climate Action Priorities,Umbrella initiative heading with multiple sub-actions listed beneath.,Mitigation,no,direct,
1,Seattle_US,parent,,GHG emissions assessment initiatives to internalize carbon costs and track the climate impacts of City decisions.,"The single largest obstacle to realizing our climate goals is that the price of fossil fuels does not reflect the true cost of carbon, which is realized in increasing threats to our health, polluted air and water, and damage to property and infrastructure. These costs are disproportionately borne by communities of color and low-income residents. The City of Seattle does not current have a city-wide policy for tracking the carbon impacts of policies or projects, which limits our ability to fully understand the cost or savings related to carbon emissions.",Near-Term Climate Action Priorities,Umbrella initiative heading with multiple sub-actions listed beneath.,Mitigation,no,direct,
1,Seattle_US,parent,,Building decarbonization initiatives leveraging clean electricity and efficiency to cut building emissions.,"Building energy use represents one-third of Seattle's GHG emissions. Since 2005, the city has benefitted from Seattle City Light's carbon neutral electricity. City Light offers a clean and climate-friendly alternative to fossil-fuel gas and oil.",Near-Term Climate Action Priorities,Umbrella initiative heading with multiple sub-actions listed beneath.,Mitigation,no,direct,
1,Seattle_US,sub,TRANSPORTATION,"Develop and release a City strategy to address congestion and transportation emissions through pricing, with investments in expanded transit and electrification in underserved communities.","Announce that the City will develop and release a strategy to address congestion and transportation emissions through pricing, coupled with investments in expanded transit and electrification in underserved communities. Research suggests that the most effective strategy for reducing GHG emissions and generating the revenue needed to support transportation alternatives is to put a price on the use of city streets through congestion pricing or some other method of pricing transportation externalities. Road pricing reduces travel times, increases travel reliability, encourages alternatives to single occupant vehicle trips, and improves safety.",Near-Term Climate Action Priorities,Commits to create a pricing strategy; a financial instrument explicitly targeting transport emissions.,Mitigation,yes,direct,
1,Seattle_US,sub,TRANSPORTATION,Pass a new electric vehicle readiness ordinance in 2018 ensuring new construction or renovated parking structures include EV infrastructure.,"Pass a new electric vehicle readiness ordinance in 2018, which will ensure new construction or renovation of parking structures is built with electric vehicle infrastructure. The most cost-effective time to build charging stations and provide the electrical infrastructure for future charging stations is during initial site development. Seattle's codes currently include limited requirements (primarily requiring electrical panel capacity and identifying pathways to accommodate future wiring) that support future electric vehicle charging stations.",Near-Term Climate Action Priorities,Ordinance with date-certain delivery and defined requirements; clear regulatory mechanism.,Mitigation,no,direct,
1,Seattle_US,sub,TRANSPORTATION,Release a citywide charging station network map and strategy in 2018 to support EV adoption.,"Release map of optimal distribution of charging infrastructure in 2018. While Seattle is one of the top US markets for electric vehicles, charging availability and convenience is a significant barrier to widespread adoption. An effective and just distribution of charging stations is critical to realizing the goal of 30 percent of light duty vehicles being electric by 2030, and to support electrification of professional fleets.",Near-Term Climate Action Priorities,Specific planning deliverable with timeline to accelerate EV uptake.,Mitigation,no,direct,
1,Seattle_US,sub,TRANSPORTATION,Work with stakeholders to develop recommendations to make all new for-hire vehicles in Seattle electric.,"Work with community and business stakeholders to develop recommendations for making all new forhire vehicles in Seattle electric. The way people move themselves and goods around Seattle is changing rapidly and, as we continue to advance the percentage of trips taken by transit, bicycle, or walking, we must ensure that new mobility services, such as for hire vehicles, use clean energy to power their trips. As people of color make up a significant number of the operators of these vehicles, it is critical that we work in collaboration with transportation services companies, drivers, and environmental and social justice organizations to ensure that policies meant to accelerate the use of electric vehicles in new mobility are just across the economy.",Near-Term Climate Action Priorities,Defines a targeted electrification action for for-hire fleets with a concrete outcome (all new for-hire vehicles electric).,Mitigation,no,direct,
1,Seattle_US,sub,TRANSPORTATION,Create a new Green Fleet Action Plan by end of 2018 to accelerate municipal fleet electrification and phase out fossil fuel use.,"Create a new Green Fleet Action Plan, by the end of 2018, to accelerate the electrification of the municipal fleet and phase out fossil fuel use in municipal vehicles. The City is a leader in fleet electrification with over 200 plug-in electric vehicles, hundreds of conventional hybrid vehicles, and the largest government-owned electric vehicle charging hub. Continued fleet electrification requires a shift in the acquisition and fueling of vehicles and vehicle infrastructure.",Near-Term Climate Action Priorities,Time-bound plan to decarbonize City’s own fleet; names electrification and fossil phase-out.,Mitigation,no,direct,
1,Seattle_US,sub,GHG EMISSIONS ASSESSMENT,"Issue an Executive Order directing City departments to assess the GHG emissions impact of City plans, policies, and major investments.","Issue an Executive Order directing City departments to assess the GHG emissions impact of City plans, policies, and major investments. City policies, plans and major investments have wide reaching and long-term climate impacts. However, the City lacks a systematic way to assess the GHG emissions associated with major City actions, and to consider the cost of those emissions during the planning process.",Near-Term Climate Action Priorities,"Binding directive via Executive Order; specific, cross-cutting intervention to integrate GHG in decisions.",Mitigation,no,direct,
1,Seattle_US,sub,BUILDINGS,Pursue state legislation in 2019 to enable a tiered residential energy code so cities can adopt incrementally higher standards.,"Adopt a tiered state residential energy code that can be adopted by cities. Cities are currently only able to adopt a commercial energy code in Washington state, while the state controls the residential version. Seattle and other municipalities are interested in a tiered residential energy code, which would allow them to adopt an incrementally higher standard.",Near-Term Climate Action Priorities,Legislative agenda item with a clear change to enable stricter residential efficiency codes.,Resource Efficiency,no,direct,
