role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,is_financial_instrument,climate_relevance,secondary_category
individual,,"Set FY2030 sectoral GHG reduction targets vs FY2013 (e.g., Industry -7%, Household -40%, Business -40%, Transport -28%, Waste -6.7%) and set a short-term total energy use reduction target of -5% (not affected by electricity emission factor).","Apart from the total target amount, we set the targets by sector as follows: - -Carbon Dioxide: Industry sector ▲ 7%, Consumer/household sector ▲ 40%, Consumer/business sector ▲ 40%, Transport sector ▲ 28%, Waste ▲ 6.7%
- -Methane ▲ 12.3%
- -Dinitrogen monoxide: ▲ 6.1%
- -4 gases such as chlorofluorocarbon alternatives: ▲ 25.1%
- *2 Setting of short-term energy reduction target Total amount of energy use that is not affected by the carbon dioxide emission factor of electric utility",## *1 Setting of targets by sectors in the mid-term target,Contains quantified sectoral reduction targets and an explicit energy-use reduction target.,Mitigation,False,direct,Resource Efficiency
individual,,"Cooperate with domestic and international cities (ICLEI, Compact of Mayors) to share achievements, lead measures, and create a low-carbon city from a global viewpoint.","- Measures in greater Hiroshima city area We will share Hiroshima City's achievements with neighboring towns and consider a system to promote the introduction of eco-friendly energy. For example, we utilize the resources in the greater Hiroshima city area effectively, considering not only the circulation of energy in the area, but also the circulation of 'people, objects and money' so that it would have an effect on the whole city area cooperating with municipalities in the area, and plan measures to promote the introduction of the next generation energy such as woody biomass, small hydroelectric generation and hydrogen, etc.",## 1),Specific intervention described in measures section.,Mitigation,False,direct,
individual,,Promote energy-saving actions and environmental learning/education through global warming prevention campaigns (households).,"- Promotion of development of environmentally-friendly people and offices (Change of Values) Take  measures  to  promote  energy  saving  actions  and  environment-related  learning/education  by  global warming prevention campaign, etc. - Promotion of large-scale introduction of innovative technology (Change of Action)",## 1),Specific intervention described in measures section.,Resource Efficiency,False,direct,
individual,,Promote introduction of low-carbon houses/buildings (ZEH/ZEB) and energy-saving devices based on the Top Runner Program (households).,"- Promotion of development of environmentally-friendly people and offices (Change of Values) Take  measures  to  promote  energy  saving  actions  and  environment-related  learning/education  by  global warming prevention campaign, etc. - Promotion of large-scale introduction of innovative technology (Change of Action)",## 1),Specific intervention described in measures section.,Resource Efficiency,False,direct,
individual,,"Share Hiroshima City's achievements with neighboring towns and consider systems and measures to promote eco-friendly energy and next generation energy (woody biomass, small hydro, hydrogen) in the greater Hiroshima area.","- Measures in greater Hiroshima city area We will share Hiroshima City's achievements with neighboring towns and consider a system to promote the introduction of eco-friendly energy. For example, we utilize the resources in the greater Hiroshima city area effectively, considering not only the circulation of energy in the area, but also the circulation of 'people, objects and money' so that it would have an effect on the whole city area cooperating with municipalities in the area, and plan measures to promote the introduction of the next generation energy such as woody biomass, small hydroelectric generation and hydrogen, etc.",## 1),Specific intervention described in measures section.,Mitigation,False,direct,
sub,Adaptation measures under two pillars and three measures,Create an environment to promote accurate understanding of climate change and its effects.,Promote the creation of an environment for more accurate understanding of climate change and its effect.,## 1) Creating an environment to promote understanding of climate change and its effect,Named adaptation measure; concrete direction though somewhat general.,Adaptation,False,direct,
individual,,Conduct 'Breaking Free from Global Warming! All citizens Campaign (tentative)' under COOL CHOICE to reduce GHG emissions by saving energy and fostering environmentally-friendly actions.,"In response to the statewide movement 'COOL CHOICE', citizens, business operators and administrations, etc., cooperate  under  the  same  target;  conduct  'Breaking  Free  from  Global  Warming! All  citizens  Campaign (tentative)' that aims to reduce greenhouse gas emissions by saving energy, etc., foster the values, and act in an environmentally-friendly way. Further, educate people and promote the meaning and necessity of, not only global warming countermeasures, but  also  the  smart  community  that  is  a  beneficial  system  for  regional  development  as  well  as  economic development.",## 1) Promotion of development of environmentally-friendly people and offices (Change of Values),Specific intervention described in measures section.,Mitigation,False,direct,Resource Efficiency
individual,,"Establish the 'Hiroshima City regulation concerning the promotion of global warming prevention, etc.' and introduce a regulatory plan system based on this regulation.","In order to achieve the goal, '6% reduction of greenhouse gas emissions compared to FY1990' set in the old plan, our city  has  developed  various  measures  such  as  the  establishment  of  the  'Hiroshima  City  regulation  concerning  the promotion of global warming prevention, etc.', introduction of a plan system using a regulatory method based on this regulation, and the provision of subsidies for introducing a solar power system, etc.",## 1. Achievement status of the greenhouse gas reduction target in the previous plan,A named regulation and regulatory plan system constitute binding policy mechanisms (even though referenced as measures in the prior plan).,Mitigation,False,direct,
individual,,Provide subsidies for introducing solar power systems.,"In order to achieve the goal, '6% reduction of greenhouse gas emissions compared to FY1990' set in the old plan, our city  has  developed  various  measures  such  as  the  establishment  of  the  'Hiroshima  City  regulation  concerning  the promotion of global warming prevention, etc.', introduction of a plan system using a regulatory method based on this regulation, and the provision of subsidies for introducing a solar power system, etc.",## 1. Achievement status of the greenhouse gas reduction target in the previous plan,Explicit subsidy provision for solar PV is a financial instrument supporting GHG mitigation.,Mitigation,True,direct,
individual,,Establish a plan promotion system including a 'Low-carbon City Development Citizens Conference (tentative)' and manage progress annually using the PDCA cycle.,"-  For advancing this plan, each agent including citizens, business operators and administrators (the city) becomes conscious of its role, cooperates with others and takes actions together. -  By  preparing  this  plan,  'Low-carbon  City  Development  Citizens  Conference  (tentative)'  representing  citizens, business operators and administrators, etc., is established as a system to take actions together. Disclose",## 1. Plan promotion system and progress management,Institutional commitments to implement and monitor the climate plan; not an emissions measure itself.,Mitigation,False,indirect,
individual,,Promote environmentally-friendly business styles by reducing CO2 in products/services and improving electricity CO2 factors via eco-friendly contracts and economic approaches (green purchase/green fund).,"Take  measures  to  promote  the  introduction  of  low-carbon  houses  with  high  energy-saving  effect  using innovative technology such as ZEB, and energy saving devices based on the state's Top Runner Program. - 3) Promotion of development of low-carbon city (Change of Social System) Promote the shift to the environmentally-friendly business style by promoting the reduction of carbon dioxide in  product/services,  and  by  improving  carbon  dioxide  emission  factors  of  electric  utilities  through  the promotion of eco-friendly contracts and economic approaches such as green purchase/green fund, etc.",## 2),Specific intervention described in measures section.,Mitigation,False,direct,
individual,,Promote introduction of low-carbon buildings (ZEB) and energy-saving devices based on the Top Runner Program (business activities).,"Take  measures  to  promote  the  introduction  of  low-carbon  houses  with  high  energy-saving  effect  using innovative technology such as ZEB, and energy saving devices based on the state's Top Runner Program. - 3) Promotion of development of low-carbon city (Change of Social System) Promote the shift to the environmentally-friendly business style by promoting the reduction of carbon dioxide in  product/services,  and  by  improving  carbon  dioxide  emission  factors  of  electric  utilities  through  the promotion of eco-friendly contracts and economic approaches such as green purchase/green fund, etc.",## 2),Specific intervention described in measures section.,Resource Efficiency,False,direct,
sub,Adaptation measures under two pillars and three measures,"Advance adaptation measures in seven areas, focusing particularly on natural disaster/coast area, health, and people's life/city life, incorporating an 'adaptation' viewpoint into existing disaster prevention and healthcare measures.","The  city  will  advance  measures  in  7  areas  in  which  'the  state's  adaptation  plan'  will  be  adopted  according  to natural/economic/social conditions; particularly, the city will focus on the items of 'natural disaster/coast area', 'health' and 'people's life/city life' whose damage by climate change has become obvious in the city. There  are  many  measures  that  have  already  been  implemented  from  the  viewpoints  of  disaster  prevention  and healthcare; however, they will be advanced with the additional 'adaptation' viewpoint. We choose the effective measures for adaptation from the 'City creation of prevention of disaster / decrease disaster' in the comprehensive creation strategy 'Hiroshima, the 'city' we can be proud of in the world' prepared in FY2015; based on these measures, the city will conduct the steady promotion.",## 2)    Building resilience against climate change,Commitment to advance measures with explicit focus areas and an adaptation framing.,Adaptation,False,direct,
individual,,"Promote and expand dispersed power systems used effectively in communities and as emergency power sources, building the foundation of a smart community.","Promote  and  expand  the  use  of  the  dispersed  power  system  whose  energy  can  be  effectively  used  in  a community as well as an emergency power source at the time of disaster, and build the foundation of a smart community.",## 2) Promotion of large-scale introduction of innovative technology (Change of Action),Specific intervention described in measures section.,Mitigation,False,direct,Adaptation
