metric,value
composite_score,0.8164
extraction_f1,0.6753
extraction_precision,0.5591
extraction_recall,0.8525
role_agreement,0.9508
parent_attribution_accuracy,1.0
primary_cat_agreement,0.8689
financial_instrument_agreement,0.9016
secondary_category_agreement,0.0
plus_one_coverage,0.8525
matched,61
unmatched_ext,32
unmatched_gt,0
Mitigation_score,0.3281
Mitigation_recall,0.8889
Mitigation_fpr,0.3898
Adaptation_score,0.1905
Adaptation_recall,0.7333
Adaptation_fpr,0.4737
Resource_Efficiency_score,-1.0
Resource_Efficiency_recall,1.0
Resource_Efficiency_fpr,0.5455
Nature_Based_Solutions_score,-0.5
Nature_Based_Solutions_recall,1.0
Nature_Based_Solutions_fpr,0.75
