role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,is_financial_instrument,climate_relevance,secondary_category
individual,,"Invest $188 million in equity-focused climate interventions spanning building retrofits, air quality monitoring expansion, and planting over 75,000 trees.","“To kickstart the implementation of my administration's climate strategy, we are investing $188 million in equity-focused interventions, spanning building retrofits, the expansion of the air quality monitoring network, to the planting of over 75,000 trees. The sum of these actions represents the beginning of our transition to a climate just society, the future of which is defined in this document.”",Letter from the MAYOR,Contains a specific committed funding amount and named interventions; qualifies as a policy via resource allocation and concrete actions.,Mitigation,True,direct,Nature-Based Solutions
individual,,"Plant 75,000 trees by 2026.","“Together with city departments and community partners, Chicago has the goal of planting 75,000 trees by 2026.”",TREE EQUITY,Quantified target with deadline; clear nature-based intervention.,Nature-Based Solutions,False,direct,Mitigation
individual,,Do not count carbon offset credits toward achieving the 62% GHG reduction goal; prioritize reducing Chicago’s own emissions first.,"“Chicago will not count offset credits toward its 62% GHG reduction goal achievement. Furthermore, the City will reduce its own emissions before taking action beyond its borders.”",The Role of Offsets,Defines an explicit accounting rule/constraint for target achievement; functions as a policy commitment governing implementation.,Mitigation,False,direct,
individual,,"Assess options to remove and store carbon within City limits, including urban forestry and soil management, including evaluation of resiliency and environmental justice impacts.","“In parallel, the City will assess options to remove and store carbon within City limits, including urban forestry and soil management. This assessment will include the evaluation of climate resiliency benefits, support for historically over -burdened communities, and other environmental justice impacts.”",The Role of Offsets,A concrete commitment to conduct an assessment of specific carbon removal options; somewhat process-oriented but anchored by specific interventions and scope (within City limits).,Mitigation,False,direct,Nature-Based Solutions
individual,,"Establish community-led climate advisory boards and forums for regular community participation in implementing, reporting, and achieving 2022 CAP actions.","“The City will also establish community-led climate advisory boards and forums for regular community participation in implementing, reporting, and achieving the actions related to the 2022 CAP.”",Governance and Reporting,Institutional governance commitment with a specific mechanism (advisory boards/forums) tied to implementation and reporting.,Adaptation,False,indirect,
individual,,Develop more resolutions and ordinances to bolster the actions of the 2022 CAP.,“The City will develop more resolutions and ordinances to bolster the actions of the 2022 CAP.”,Policy Levers,"A commitment to pursue legislative instruments; somewhat vague (no specific ordinance named), but still a stated governmental action to formalize CAP measures.",Mitigation,False,direct,
individual,,"Benchmark energy use annually and verify data every three years for municipal, commercial, and residential buildings 50,000 square feet and larger; require display of energy ratings onsite under the Chicago Energy Rating System.","“Benchmarking Ordinance, 2013: This ordinance supports greater transparency on energy usage across the building sector. Existing municipal, commercial, and residential buildings that are 50,000 square feet and larger are called to track energy use, report to the City annually, and verify data accuracy every three years. Chicago's benchmarking program was expanded in 2019 with the Chicago Energy Rating System, which assigns an energy rating to covered buildings based on their reporting and requires buildings to display the rating in a prominent location onsite.”",CLIMATE FINANCING AND DELIVERY CAPACITY,Binding ordinance with clear compliance requirements; climate-relevant via energy transparency enabling efficiency and emissions reductions.,Resource Efficiency,False,indirect,
individual,,Simplify the administrative process required to install rooftop solar through Chicago Solar Express.,"“Chicago Solar Express, 2013: This program simplified the administrative process required to install rooftop solar.”",CLIMATE FINANCING AND DELIVERY CAPACITY,Named program intervention that reduces soft costs/barriers to renewable deployment.,Mitigation,False,direct,
individual,,Provide funding to support Chicago fleet operators and businesses for adoption of clean vehicles through Drive Clean Chicago.,"“Drive Clean Chicago, 2014: This  program provides funding to support Chicago fleet oper -ators and businesses for the adoption of clean vehicles.”",CLIMATE FINANCING AND DELIVERY CAPACITY,Funding program (financial support) for clean vehicles; clear mitigation mechanism.,Mitigation,True,direct,
individual,,Require City-assisted or specially approved development projects to include sustainable elements under the Sustainable Development Policy.,"“Sustainable Development Policy, 2016: This policy requires development projects that receive financial assistance or special approvals from the City that include sustainable elements.”",CLIMATE FINANCING AND DELIVERY CAPACITY,Regulatory/conditional policy tied to City approvals/assistance; sustainability requirement implies climate relevance though not quantified here.,Resource Efficiency,False,indirect,
