location,key,category,policy_id,grade,similarity,statement_match,role_match,category_match,reasoning
Austin_US,Mitigation::gt93_ext0_Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.,Mitigation,Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.,1,1.0,True,True,True,"The extracted policy exactly matches the ground-truth policy in scope (community-wide greenhouse gas emissions), commitment (will achieve), and deadline/target (net-zero by 2040). There is no discrepancy in specificity or wording that would weaken the match."
Austin_US,"Mitigation::gt0_ext18_By 2030, achieve net-zero carbon for all new buildings and reduce emissions by 2",Mitigation,"By 2030, achieve net-zero carbon for all new buildings and reduce emissions by 2",1,0.9947,True,True,True,"The extracted policy matches the ground-truth exactly in scope, deadline, and quantified targets: net-zero carbon for all new buildings by 2030, 25% emissions reduction for existing buildings, and 30% reduction in natural gas-related emissions. Commitment strength and specificity are preserved with no material omissions or contradictions."
Austin_US,Mitigation::gt1_ext19_Pursue a comprehensive energy poverty mitigation strategy to ensure building rep,Mitigation,Pursue a comprehensive energy poverty mitigation strategy to ensure building rep,1,0.964,True,True,False,"The extracted policy closely matches the ground-truth policy in scope and core commitment: it pursues a comprehensive energy poverty mitigation strategy aimed at directing building repair, conservation, and renewable energy benefits to low-income communities and communities of color. The only omission is the implementation detail 'through partnerships and programs,' but the main policy intent, target beneficiaries, and substantive measures are preserved. Given the lack of source document text and the strong alignment with the ground truth, this is a strong match."
Austin_US,Mitigation::gt2_ext23_Enhance resident and building owner understanding of energy savings opportunitie,Mitigation,Enhance resident and building owner understanding of energy savings opportunitie,1,0.9472,True,True,False,"The extracted policy closely matches the ground-truth in scope and mechanism. It preserves the core commitment to improve resident and building owner understanding of energy savings and climate impacts, and includes the same delivery mechanisms: outreach, communications, benchmarking, and improved access to utility/energy data. Some specificity is slightly reduced versus the ground-truth (omitting 'culturally relevant,' 'expanded' benchmarking requirements, and explicit water data), but there is no contradiction and the central policy content is accurately captured."
Austin_US,"Mitigation::gt3_ext27_Achieve net-zero carbon buildings through new building energy codes, amendments,",Mitigation,"Achieve net-zero carbon buildings through new building energy codes, amendments,",1,0.9741,True,True,True,"The extracted policy closely matches the ground-truth in scope, mechanism, and commitment. It preserves the core commitment to achieve net-zero carbon buildings and includes the same delivery mechanisms: new energy/building energy codes, amendments, incentives, education, and collaboration with utilities. The only minor omission is the explicit reference to decarbonizing both new and existing buildings, but this does not materially change the policy’s meaning."
Austin_US,Mitigation::gt4_ext32_Prioritize net-zero carbon buildings in low-income communities and communities o,Mitigation,Prioritize net-zero carbon buildings in low-income communities and communities o,0,0.7573,False,True,True,"The extracted policy partially overlaps with the ground-truth in its focus on low-income communities and communities of color and on building-related climate action. However, it misses the core commitments to prioritize local emissions reduction investment and to create equitable workforce development and training opportunities through partnerships. Instead, it introduces different mechanisms—prioritizing net-zero carbon buildings and expanding weatherization services—that are not present in the ground-truth. This is directionally related but not a specific or accurate match."
Austin_US,"Mitigation::gt5_ext38_By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage",Mitigation,"By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage",1,1.0,True,True,True,"The extracted policy exactly matches the ground-truth policy in scope, target, timeframe, and subject: community-wide greenhouse gas emissions from refrigerant leakage reduced by 25% by 2030. It preserves the same specificity and commitment level."
Austin_US,Mitigation::gt6_ext39_Develop a refrigerant destruction program that prices older high-ozone-depleting,Mitigation,Develop a refrigerant destruction program that prices older high-ozone-depleting,1,0.9911,True,True,True,"The extracted policy matches the ground-truth essentially exactly in scope, commitment, and mechanism. It preserves the core action ('develop a refrigerant destruction program'), the pricing mechanism for older high-ozone-depleting and high-global-warming-potential refrigerants, and the intended outcome of increased capture and safe destruction. The only difference is the abbreviation 'high-GWP,' which is equivalent to 'high-global-warming-potential.'"
Austin_US,Mitigation::gt7_ext41_Advance code amendments and local action to allow and encourage low- and no-GWP ,Mitigation,Advance code amendments and local action to allow and encourage low- and no-GWP ,1,0.8658,True,True,True,"The extracted policy closely matches the ground-truth in scope, timing, and mechanism. It preserves the core commitment to move forward with local code amendments and local action to encourage low- and no-GWP refrigerants 'as soon as feasible.' While it omits the prefatory clause 'Follow revised building code developments,' the main policy action is captured accurately and specifically enough, with no contradiction or hallucination."
Austin_US,"Mitigation::gt8_ext43_Create incentives for refrigerant leak detection, prevention, and repair across ",Mitigation,"Create incentives for refrigerant leak detection, prevention, and repair across ",0,0.8568,False,True,True,"The extracted policy matches the core action of creating incentives for refrigerant leak detection, prevention, and repair. However, it omits the ground-truth mechanism of partnering with commercial refrigeration and HVAC stakeholders, replacing it with a broader sectoral scope ('food retail, warehousing, and HVAC sectors'). This is directionally correct but less specific on delivery mechanism and stakeholder involvement. No source excerpt is provided to verify stronger commitment language."
Austin_US,"Mitigation::gt9_ext45_Create multilingual awareness, education, and training for HVAC providers and bu",Mitigation,"Create multilingual awareness, education, and training for HVAC providers and bu",0,0.8987,False,True,True,"The extracted policy matches the general intent of the ground-truth: an awareness, education, and training effort for HVAC-related actors on refrigerant management and leak prevention. However, it is less specific and omits key elements from the ground-truth, notably leak detection and repair, and broadens/narrows stakeholders slightly by using 'building operators' instead of 'building stakeholders.' It also adds 'multilingual,' which is unsupported by the ground-truth provided. With no source excerpt to verify against, this is directionally correct but incomplete rather than a full match."
Austin_US,"Mitigation::gt10_ext47_Reduce and prevent refrigerant use, especially high-GWP refrigerants, through pa",Mitigation,"Reduce and prevent refrigerant use, especially high-GWP refrigerants, through pa",0,0.8343,False,True,True,"The extracted policy matches the core intent of the ground truth: reducing and preventing refrigerant use, especially high-GWP refrigerants. However, it adds specific mechanisms ('through passive design, reduction, and efficiency-oriented codes and incentives') that are not verified by the provided source excerpt, and it omits the qualifier 'to the extent possible.' With no source text to confirm these delivery mechanisms, the match is directionally correct but somewhat more specific than the ground truth, so it is best graded as partially correct rather than exact."
