role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,is_financial_instrument,climate_relevance,secondary_category
individual,,Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.,"Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.

Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.",NEW EMISSIONS GOAL FOR AUSTIN,"This is a clear, quantified citywide emissions target with a deadline, making it a core climate policy commitment.",Mitigation,False,direct,
parent,,Green Jobs and Entrepreneurship strategy to create green jobs and entrepreneurship opportunities tied to plan goals and equity outcomes.,"Create green jobs and entrepreneurship opportunities that advance the goals of this plan, expand economic opportunity and inclusion, and build agency and decision-making power in low-income communities and communities of color.

The following overarching strategies touch all areas of this plan.",III. OVERARCHING STRATEGIES,"This is a named overarching initiative with multiple implementation bullets beneath it, so it qualifies as a parent policy.",Mitigation,False,indirect,
sub,Strategy 1: Green jobs and entrepreneurship,Create a skill-up training program focused on low-income communities and communities of color to install and maintain green technologies and solutions.,"Ensure an adequately educated workforce to install and maintain new and existing green technologies and solutions through a skill-up training program specifically focused on low-
income communities and communities of color. This may include green infrastructure, solar installation, renewable natural gas and hydrogen processing, water reuse or innovative mechanical systems, EV charging station installation, design and repair to reduce waste, urban agriculture, beautification, placemaking, etc.",III. OVERARCHING STRATEGIES,Specific named intervention under the parent strategy; it commits to a workforce training program supporting climate-related technologies.,Mitigation,False,indirect,Resource Efficiency
sub,Strategy 1: Green jobs and entrepreneurship,Ensure permanent green career pathways that pay a living wage and include accessibility supports such as childcare and inclusion of formerly incarcerated people.,"Ensure permanent career pathways that pay a living wage rather than temporary jobs. Include considerations for people who were formerly incarcerated and childcare services to ensure accessibility for working parents.

Develop new workforce skills and job readiness to provide a ladder of opportunities and entry into a skilled workforce pipeline.",III. OVERARCHING STRATEGIES,"This is a concrete workforce-development commitment under the named strategy, though climate benefits are indirect through support for green sectors.",Mitigation,False,indirect,
sub,Strategy 1: Green jobs and entrepreneurship,Recruit from local communities of color to ensure equitable participation in green jobs sectors.,"Recruit from local communities of color to ensure diverse and equitable participation in all levels of green jobs sectors.

Invest in local green businesses and target financial support for small businesses owned by people of color.",III. OVERARCHING STRATEGIES,This is a specific implementation action under the parent strategy. It is policy-relevant because it directs recruitment practices tied to green sectors.,Mitigation,False,indirect,
sub,Strategy 1: Green jobs and entrepreneurship,Invest in local green businesses and target financial support for small businesses owned by people of color.,"Invest in local green businesses and target financial support for small businesses owned by people of color.

Develop initiatives and programs to support and grow a network of entrepreneurs and executives of color.",III. OVERARCHING STRATEGIES,"This includes explicit financial support and investment, making it a concrete policy action and a financial instrument.",Mitigation,True,indirect,
sub,Strategy 1: Green jobs and entrepreneurship,Develop initiatives and programs to support and grow a network of entrepreneurs and executives of color in green sectors.,"Develop initiatives and programs to support and grow a network of entrepreneurs and executives of color.

Build upon the recent Austin Civilian Conservation Corps initiative to foster partnerships with nonprofit organizations to recruit and train economically disadvantaged community members.",III. OVERARCHING STRATEGIES,"This is a specific programmatic commitment under the parent strategy, though somewhat broad in design details.",Mitigation,False,indirect,
sub,Strategy 1: Green jobs and entrepreneurship,Build on the Austin Civilian Conservation Corps initiative to partner with nonprofits to recruit and train economically disadvantaged community members.,"Build upon the recent Austin Civilian Conservation Corps initiative to foster partnerships with nonprofit organizations to recruit and train economically disadvantaged community members.

Strategy 2: Prioritize local community initiatives",III. OVERARCHING STRATEGIES,This is a concrete partnership and training action under the green jobs strategy.,Mitigation,False,indirect,
individual,,"Recognize and support existing community-led organizations, businesses, and programs that help achieve plan goals while building a green and just economy and culture.","Recognize and support existing community-led organizations, businesses, and programs that can help achieve the goals in this plan while building a green and just economy and culture. Lift up these initiatives as models and support new efforts that prioritize local investment, design out waste and pollution, promote the local exchange of ideas, goods, and services, and restore our people, land, water, and air to full health.

This strategy supports the concept of a circular economy that designs out waste and keeps materials and products circulating in productive use for as long as possible.",III. OVERARCHING STRATEGIES,"This is a named overarching strategy but without a formal sub-list beneath it, so it is best treated as an individual policy. It commits to support specific community-led climate initiatives.",Resource Efficiency,False,indirect,Nature-Based Solutions
individual,,"Create a Texas Climate Collaborative linking cities, counties, elected officials, staff, and utilities to implement climate plans and address shared implementation issues.","Create a Texas Climate Collaborative linking elected officials, City staff, and utility staff working to implement recently adopted climate plans in San Antonio, Houston, Dallas, and Austin. Work with cities across the state and neighboring cities, such as Round Rock, Cedar Park, Buda, Pflugerville, San Marcos, and Kyle, and the five-county governments: Travis, Williamson, Hays, Bastrop, and Caldwell.",III. OVERARCHING STRATEGIES,This is a specific named intervention establishing a collaborative governance mechanism for climate implementation.,Mitigation,False,direct,
individual,,Leverage existing networks and regional organizations to integrate climate change into regional plans and programs.,"Leverage existing networks, such as C40 Cities, Climate Mayors, Urban Sustainability Directors Network, or the SPEER City Efficiency Leadership Council. Work through existing regional organizations such as the Capital Area Council of Governments and the Capital Area Metropolitan Planning Organization to consider and address climate change in their plans and programs.",III. OVERARCHING STRATEGIES,"This is a concrete intergovernmental coordination commitment, though less quantified than other policies.",Mitigation,False,direct,
parent,,"Establish guidance prioritizing local carbon reduction projects, carbon dioxide removal, and carbon offsets for achieving net-zero goals.","Reducing all fossil fuel usage and direct greenhouse gas emissions to zero will be difficult in the foreseeable future and may be considered prohibitively expensive. Purchasing lower-cost carbon offsets - sometimes called 'carbon credits' - may be an option to cancel out direct emissions to achieve the net-zero greenhouse gas emissions target by 2040. For the use of carbon offsets in local climate action efforts, we have created the following definitions and guidance:",III. OVERARCHING STRATEGIES,"This is a named umbrella strategy followed by multiple defined sub-actions and prioritization rules, so it is a parent policy.",Mitigation,False,direct,
sub,"Strategy 4: Local carbon reduction projects, carbon dioxide removal, and carbon offsets","Stimulate collaboration through local carbon reduction projects within Austin that avoid or sequester greenhouse gas emissions and strive to be additional, measurable, permanent, and socially and environmentally safe.","Local carbon reduction projects - We want to stimulate collaboration within the community through local projects. A local carbon reduction project is an activity that occurs within Austin that avoids or sequesters greenhouse gas emissions but may not follow an accounting protocol or be third-party verified and registered. These projects should strive to be additional, measurable, permanent, and not create any adverse environmental or social impacts.",III. OVERARCHING STRATEGIES,This defines and commits support for a specific class of local emissions-reduction projects under the parent strategy.,Mitigation,False,direct,Nature-Based Solutions
sub,"Strategy 4: Local carbon reduction projects, carbon dioxide removal, and carbon offsets",Explore and support local carbon dioxide removal strategies and create guidelines for natural and green technology CDR approaches with equity and permanence considerations.,"To begin addressing this enormous task, we will explore how Austin can support more local CDR strategies and use these to meet the annual goals in this plan. We will start by researching and creating guidelines for natural and green technology CDR strategies, ensuring that equity and permanence are considered.",III. OVERARCHING STRATEGIES,"This is a concrete commitment to research and guideline development for carbon dioxide removal, though implementation details remain open.",Mitigation,False,direct,Nature-Based Solutions
sub,"Strategy 4: Local carbon reduction projects, carbon dioxide removal, and carbon offsets","Use carbon offsets only after local emissions reductions and carbon dioxide removal, limiting offsets to no more than 10% of the baseline in any given year.","If annual community-wide emissions minus carbon dioxide removal is greater than the stated goal, carbon offsets can be applied to reach a goal. For any given year, carbon offsets should constitute no more than 10% of the baseline. This 10% should be reserved for sectors where emission reductions are cost-prohibitive or impossible to reduce with existing technology.",III. OVERARCHING STRATEGIES,"This is a clear rule governing offset use with a quantified cap, making it a policy commitment.",Mitigation,True,direct,
sub,"Strategy 4: Local carbon reduction projects, carbon dioxide removal, and carbon offsets",Prioritize local emissions reductions by investing in local carbon reduction projects in Austin before other offset approaches.,"Reduce local emissions following the goals set in this plan by investing in local carbon reduction projects in Austin that avoid direct emissions, focusing on creating local equity benefits and a vibrant collaboration between the community and the City.

Support carbon dioxide removal projects in the Austin-Round Rock-San Marcos area to sequester as much CO2 as possible.",III. OVERARCHING STRATEGIES,This is a prioritized investment rule under the parent strategy and includes explicit investment language.,Mitigation,True,direct,
sub,"Strategy 4: Local carbon reduction projects, carbon dioxide removal, and carbon offsets",Support carbon dioxide removal projects in the Austin-Round Rock-San Marcos area to maximize CO2 sequestration.,"Support carbon dioxide removal projects in the Austin-Round Rock-San Marcos area to sequester as much CO2 as possible.

If annual community-wide emissions minus carbon dioxide removal is greater than the stated goal, carbon offsets can be applied to reach a goal.",III. OVERARCHING STRATEGIES,This is a specific regional support commitment under the parent strategy.,Mitigation,False,direct,Nature-Based Solutions
sub,"Strategy 4: Local carbon reduction projects, carbon dioxide removal, and carbon offsets","When offsets are used, purchase them as close to the Austin area as possible and prioritize projects with environmental and equity benefits and negative emissions over avoided emissions.","They should be purchased from projects as close to the Austin area as possible.
They should be purchased from projects that create additional environmental and equity benefits.
Carbon offsets from negative emissions should be prioritized over avoided emissions, and the use of avoided emissions should be phased out by 2040.",III. OVERARCHING STRATEGIES,"These are explicit procurement criteria for offsets under the parent strategy, including a phaseout direction by 2040.",Mitigation,True,direct,
parent,,"By 2030, achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30%.","By 2030, achieve net-zero carbon* for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30%.

* For this goal, net-zero carbon implies operational carbon, which refers to the CO 2 emitted from operations, such as lighting and heating, during the in-use phase of a building.",SUSTAINABLE BUILDINGS,"This is a quantified sectoral target with multiple listed strategies beneath it, so it is a parent policy.",Mitigation,False,direct,Resource Efficiency
sub,"By 2030, achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30%.","Pursue a comprehensive energy poverty mitigation strategy to ensure building repair, conservation, and renewable energy benefits flow to low-income communities and communities of color.","Pursue a comprehensive energy poverty mitigation strategy by partnering with trusted community organizations, affordable housing developers, and schools in equitable outreach and program development. Programs should focus on energy burden reduction, improved air quality, neighborhood resilience during extreme weather, and increased passive survivability of buildings.",SUSTAINABLE BUILDINGS,This is a specific programmatic intervention under the building decarbonization goal. It explicitly names resilience and passive survivability in addition to energy burden reduction.,Adaptation,False,direct,Resource Efficiency
sub,"By 2030, achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30%.",Support and expand existing low-income weatherization programs and educate property managers and tenants on weatherization and disaster operations.,"Create partnerships and work with any future Community Climate Ambassador cohorts to gain feedback and insights on improving program accessibility. Support and expand upon existing low-income weatherization programs.

Support and collaborate on initiatives to advance neighborhood preparedness efforts and share resources on repair and recovery programs.",SUSTAINABLE BUILDINGS,"This is a concrete intervention under the parent strategy, combining weatherization and preparedness actions.",Adaptation,False,direct,Resource Efficiency
sub,"By 2030, achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30%.",Use a cross-departmental approach with green infrastructure and shading measures to conserve energy and reduce urban heat impacts.,"Ensure a City cross-departmental approach that also emphasizes partnerships with green infrastructure stakeholders to ensure trees and greenery are utilized and placed strategically to shade buildings and help further conservation.

Encourage reducing impervious cover and shading for infrastructure such as benches, public transportation facilities, public water fountains, and charging stations to ease the urban heat island effect and reduce heat impacts on residents.",SUSTAINABLE BUILDINGS,This is a specific intervention using ecological shading and heat reduction. It explicitly addresses heat impacts and conservation.,Adaptation,False,direct,Nature-Based Solutions
sub,"By 2030, achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30%.",Prioritize incentives and utility-cost mitigation so decarbonization does not disproportionately affect low-income communities and communities of color.,"Mitigate increased utility costs to households and small businesses to ensure that decarbonization does not disproportionately affect low-income communities. Prioritize lowincome communities and communities of color while distributing incentives to address energy burden.

Collaborate with resilience planning processes to focus on neighborhoods that disproportionately experience extreme heat, flooding, blackouts, and other climate-related emergencies.",SUSTAINABLE BUILDINGS,"This includes explicit incentives and cost mitigation, making it a concrete policy with financial elements.",Adaptation,True,direct,Resource Efficiency
