metric,value
composite_score,0.6457
extraction_f1,0.4183
extraction_precision,0.3254
extraction_recall,0.5851
role_agreement,0.9894
parent_attribution_accuracy,0.9867
primary_cat_agreement,0.6915
financial_instrument_agreement,0.7766
secondary_category_agreement,0.0
plus_one_coverage,0.5851
matched,94
unmatched_ext,75
unmatched_gt,0
Mitigation_score,0.0099
Mitigation_recall,0.6452
Mitigation_fpr,0.6456
Adaptation_score,-0.4375
Adaptation_recall,0.5
Adaptation_fpr,0.8667
Resource_Efficiency_score,-0.5909
Resource_Efficiency_recall,0.5
Resource_Efficiency_fpr,0.6222
Nature_Based_Solutions_score,-0.0333
Nature_Based_Solutions_recall,0.45
Nature_Based_Solutions_fpr,0.7333
