metric,value
composite_score,0.5888
extraction_f1,0.2667
extraction_precision,0.1639
extraction_recall,0.7143
role_agreement,1.0
parent_attribution_accuracy,1.0
primary_cat_agreement,0.6429
financial_instrument_agreement,1.0
secondary_category_agreement,0.0
plus_one_coverage,0.7143
matched,14
unmatched_ext,47
unmatched_gt,0
Mitigation_score,-0.3636
Mitigation_recall,0.6923
Mitigation_fpr,0.8214
Adaptation_score,-1.0
Adaptation_recall,1.0
Adaptation_fpr,1.0
Resource_Efficiency_score,-0.8824
Resource_Efficiency_recall,1.0
Resource_Efficiency_fpr,0.7727
Nature_Based_Solutions_score,-1.0
Nature_Based_Solutions_recall,1.0
Nature_Based_Solutions_fpr,1.0
