metric,value
composite_score,0.5442
extraction_f1,0.24
extraction_precision,0.1475
extraction_recall,0.6429
role_agreement,0.9286
parent_attribution_accuracy,1.0
primary_cat_agreement,0.5714
financial_instrument_agreement,1.0
secondary_category_agreement,0.0
plus_one_coverage,0.6429
matched,14
unmatched_ext,47
unmatched_gt,0
Mitigation_score,-0.5
Mitigation_recall,0.6154
Mitigation_fpr,0.875
Adaptation_score,-1.0
Adaptation_recall,1.0
Adaptation_fpr,1.0
Resource_Efficiency_score,-0.8333
Resource_Efficiency_recall,1.0
Resource_Efficiency_fpr,0.7222
Nature_Based_Solutions_score,-1.0
Nature_Based_Solutions_recall,1.0
Nature_Based_Solutions_fpr,1.0
