iteration,location,role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,financial_instrument,climate_relevance,secondary_category
1,Seattle_US,individual,,"To meet that need, in 2017, a pilot program was initiated to permit the installation of publicly-available electric vehicle charging stations on non-residential streets in urban villages, urban centers, and commercial streets.","To meet that need, in 2017, a pilot program was initiated to permit the installation of publicly-available electric vehicle charging stations on non-residential streets in urban villages, urban centers, and commercial streets. To date, over 60 applications have been received from three applicants, including Seattle City Light, who installed the first station in February 2018.",Electric Vehicle Charging in the Right of Way,"Describes a specific City pilot program with a defined mechanism (permitting EV chargers in the right of way) and implementation details/dates, which qualifies as a climate mitigation policy enabling electrification.",Mitigation,no,direct,
1,Seattle_US,individual,,"In response to customers' increasing desire for electric vehicles and to understand how best to manage the impact of vehicle charging on the electrical grid, Seattle City Light is designing and implementing two charging infrastructure pilot programs.","Through the right of way charging pilot program described above, City Light is installing 20 public fast charging stations to increase access, while also ensuring that charging is distributed more equitably around the city. The residential program will offer customers access to inhome charging at a manageable monthly cost and is expected to launch in the fall of 2018.",Seattle City Light Charging Program,"Commits the utility to implement charging infrastructure pilots including a quantified deployment (20 fast charging stations) and a residential charging program with a launch timeframe, making it a concrete mitigation policy.",Mitigation,yes,direct,
1,Seattle_US,individual,,"In 2017, the Seattle Electrical Code was amended to ensure new parking is built to facilitate future electric vehicle charging infrastructure.","In 2017, the Seattle Electrical Code was amended to ensure new parking is built to facilitate future electric vehicle charging infrastructure. The code requires adequate electrical capacity to serve one electric vehicle charging station per parking space and that construction documents show the location of equipment and conduit for future installation of electric vehicles charging stations.",Electrical Code,"A binding code amendment with explicit technical requirements for EV charging readiness, qualifying as a regulatory mitigation policy.",Mitigation,no,indirect,
1,Seattle_US,individual,,"Seattle's Shared Mobility Hub program will aggregate transportation connections, travel information, and other mobility amenities into a seamless, understandable, and on-demand travel experience.","Seattle's Shared Mobility Hub program will aggregate transportation connections, travel information, and other mobility amenities into a seamless, understandable, and on-demand travel experience. The Seattle Transportation Department is developing a dense network of shared mobility hubs throughout the city, co-located with major transit facilities and in places where frequent transit services intersect.",Shared Mobility Hubs,"Describes a specific City program (shared mobility hubs) with an implementation action (developing a dense network), a concrete intervention supporting lower-emission mobility.",Mitigation,no,indirect,
1,Seattle_US,individual,,"The Green Fleet Action Plan guides the City's efforts to meet the goal to reduce municipal fleet emissions by 50 percent by 2025 by increasingly electrifying the fleet, using cleaner fuels when electrification is not feasible, increasing efficiency in how vehicles are used, and setting standards for vehicle procurement.","Seattle was one of the first cities in the country to buy conventional hybrids (early 2000s) and the battery electric Nissan Leaf (2011), install hybrid systems on ambulances, and use a 20 percent biodiesel blend from sustainable feedstocks in all heavy-duty vehicles. The Green Fleet Action Plan guides the City's efforts to meet the goal to reduce municipal fleet emissions by 50 percent by 2025 by increasingly electrifying the fleet, using cleaner fuels when electrification is not feasible, increasing efficiency in how vehicles are used, and setting standards for vehicle procurement.",Municipal Fleet,"Contains a quantified target (50% fleet emissions reduction by 2025) and named plan with specific mechanisms (electrification, fuels, procurement), qualifying as a mitigation policy.",Mitigation,no,direct,Resource Efficiency
1,Seattle_US,individual,,"Adopted in 2010, Seattle's Energy Benchmarking Program (SMC 22.920) requires owners of nonresidential and multi-family buildings (20,000 square feet or larger) to track energy performance and annually report to the City.","Adopted in 2010, Seattle's Energy Benchmarking Program (SMC 22.920) requires owners of nonresidential and multi-family buildings (20,000 square feet or larger) to track energy performance and annually report to the City. The policy was updated in 2016 to make reported data publicly available to further increase awareness of building energy use and support real estate market transformation.",Benchmarking,"A codified reporting requirement (SMC citation) with clear applicability threshold, qualifying as a concrete building energy policy with direct climate relevance.",Resource Efficiency,no,direct,Mitigation
1,Seattle_US,individual,,"Adopted in 2016, the Building Tune-Ups Ordinance (SMC 22.930) requires commercial buildings 50,000 square feet or larger to identifying low- or no-cost building operations and maintenance improvements to improve energy and water efficiency.","Adopted in 2016, the Building Tune-Ups Ordinance (SMC 22.930) requires commercial buildings 50,000 square feet or larger to identifying low- or no-cost building operations and maintenance improvements to improve energy and water efficiency. Compliance deadlines will be phased in by building size, beginning in early 2019.",Tune Ups,A binding ordinance with a defined building-size threshold and compliance timeline; clearly a concrete policy for reducing building energy/water use.,Resource Efficiency,no,direct,
1,Seattle_US,individual,,"With funding from a Department of Energy grant, the City is implementing the Building Tune-Up Accelerator Program providing incentives for early compliance with the Tune-Ups Ordinance.","With funding from a Department of Energy grant, the City is implementing the Building Tune-Up Accelerator Program providing incentives for early compliance with the Tune-Ups Ordinance. The Accelerator is a voluntary program for owners of mid-size buildings, those 50,000-100,000 square feet, to conduct a tune-up that meets the Seattle Building Tune-Up requirements in advance of when their building is required to comply (2020 & 2021).",Tune-Up Accelerator,"An implemented program backed by grant funding and incentives to accelerate compliance with a mandated ordinance, qualifying as a financial/programmatic policy instrument.",Resource Efficiency,yes,indirect,
1,Seattle_US,individual,,"By partnering with a heat pump distributor, who provides matching incentives, the program is converting 200 homes per year, while also influencing the home heating market so that electric heat pumps become a preferred heating system.","By partnering with a heat pump distributor, who provides matching incentives, the program is converting 200 homes per year, while also influencing the home heating market so that electric heat pumps become a preferred heating system. Since its launch in July 2017, 135 homes have been converted with a GHG emissions savings of five MTCO2 per home.",Oil Heated Home Conversion,"A named incentive program with a quantified activity rate (200 homes/year) and quantified emissions savings, qualifying as a concrete mitigation policy through building electrification.",Mitigation,yes,direct,
1,Seattle_US,individual,,"The 2015 SEC includes criteria that address emissions, by requiring either non-fossil fuel-based heating or more efficient windows.","An analysis of the 2012 Seattle Energy Code (SEC) found that commercial buildings meeting our code are, on average, 11 percent more efficient than those designed to the national standard, and the current code is approximately 20 percent more efficient. The 2015 SEC includes criteria that address emissions, by requiring either non-fossil fuel-based heating or more efficient windows.",Energy Code,"Specifies concrete code criteria explicitly tied to emissions, qualifying as a regulatory policy affecting building efficiency and fuel choice.",Resource Efficiency,no,direct,Mitigation
