role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,is_financial_instrument,climate_relevance,secondary_category
individual,,"Set citywide greenhouse gas emissions reduction targets of 5% by FY2020, 30% by FY2030, and 80% by FY2050 compared to FY2013.","To establish the reduction target of greenhouse gas emissions, the city will set the long-term target based on the national government's target, keeping in mind the city Hiroshima aims to become. This will follow by the mid-term and short-term targets increasing the reduction effect estimated from concrete measures, etc.

| Timeframe            | Target Year   | Reduction Target (Total Target Amount)            |
| Long-term Target     | FY2050        | Compared to FY2013 ▲ 80%                          |
| Mid-term Target *1   | FY2030        | Compared to FY2013 ▲ 30%                          |
| Short-term Target *2 | FY2020        | Compared to FY2013 ▲ 5% (Compared to FY2005 ▲ 7%) |",## 2. Reduction target for greenhouse gas emissions,"This is a quantified, time-bound emissions reduction commitment (targets with baseline and deadlines), which qualifies as a mitigation policy.",Mitigation,False,direct,
individual,,"Set mid-term (FY2030) sectoral greenhouse gas reduction targets by gas and sector (e.g., household and business CO2 -40%, transport CO2 -28%).","Apart from the total target amount, we set the targets by sector as follows:

- -Carbon Dioxide: Industry sector ▲ 7%, Consumer/household sector ▲ 40%, Consumer/business sector ▲ 40%, Transport sector ▲ 28%, Waste ▲ 6.7%
- -Methane ▲ 12.3%
- -Dinitrogen monoxide: ▲ 6.1%
- -4 gases such as chlorofluorocarbon alternatives: ▲ 25.1%",## *1 Setting of targets by sectors in the mid-term target,"This establishes quantified sector- and gas-specific reduction targets, which are concrete mitigation commitments.",Mitigation,False,direct,
individual,,Set a short-term (FY2020) target to reduce total energy use (not affected by electricity CO2 factors) by 5%.,"Total amount of energy use that is not affected by the carbon dioxide emission factor of electric utility

- -Total amount of energy use: ▲ 5%",## *2 Setting of short-term energy reduction target,This is a quantified energy-use reduction target; it is a resource-efficiency policy with clear numeric commitment.,Resource Efficiency,False,indirect,
individual,,Promote household energy-saving actions and environment-related learning/education through global warming prevention campaigns.,"Take  measures  to  promote  energy  saving  actions  and  environment-related  learning/education  by  global warming prevention campaign, etc.",## ◆ Household,"This commits to specific interventions (campaigns and education) to drive household energy saving; while not quantified here, it is a concrete programmatic action.",Resource Efficiency,False,direct,
individual,,"Promote introduction of low-carbon, high energy-saving houses/buildings (ZEH/ZEB) and Top Runner energy-saving devices in households.","Take  measures  to  promote  the  introduction  of  low-carbon  houses  with  high  energy-saving  effect  using innovative technology such as Net Zero Energy House (hereinafter called 'ZEH') and Net Zero Energy Building (hereinafter called 'ZEB'), and energy saving devices based on the state's Top Runner Program.",## ◆ Household,This is a specific technology deployment commitment (ZEH/ZEB and Top Runner devices) aimed at reducing energy use/emissions.,Resource Efficiency,False,direct,
individual,,"Achieve household KPI targets: ZEH share 50% by FY2020 and almost 100% by FY2030; household fuel cells 15,000 by FY2020 and 56,000 by FY2030; LED lighting (80% of household lighting) 50% by FY2020 and almost 100% by FY2030.","|                                                                                         | ZEH                                                                                     | 4.3% (FY2015)    | 50%                  | Almost100%          |
| Number of introduced household fuel cells (Total)                                       | Number of introduced household fuel cells (Total)                                       | 822 (FY2015)     | 15,000               | 56,000              |
| Rate of citizens who have introduced LED lighting for more than 80%ofhousehold lighting | Rate of citizens who have introduced LED lighting for more than 80%ofhousehold lighting | 12.5% (FY2016)   | 50%                  | Almost100%          |",## ◇ Key Performance Indicator (KPI),"These are quantified adoption targets (KPIs) tied to household decarbonization/efficiency measures, making them concrete policy commitments.",Resource Efficiency,False,direct,
individual,,Promote resident-led shifts to environmentally-friendly lifestyles by developing low-carbon communities under the concept 'Develop our town by ourselves'.,"Promote  the  shift  to  an  environmentally-friendly  lifestyle  developing  low-carbon  communities,  etc.  with residents' initiative, under the concept of 'Develop our town by ourselves'.",## ◆ Household,"This is a named intervention (low-carbon communities) with an implementation approach (resident-led), qualifying as a policy despite lacking numeric targets in this sentence.",Mitigation,False,direct,
individual,,Promote business energy management and energy-saving actions and ensure thorough management of devices using chlorofluorocarbons with extremely high greenhouse effect.,"Take measures to promote energy management and energy saving actions, as well as thorough management of devices using chlorofluorocarbons that have an extremely high greenhouse effect.",## ◆ Business activities,This commits to operational measures (energy management and refrigerant management) that directly reduce GHG emissions.,Mitigation,False,direct,Resource Efficiency
individual,,Promote introduction of ZEB and Top Runner energy-saving devices in business activities.,"Take  measures  to  promote  the  introduction  of  low-carbon  houses  with  high  energy-saving  effect  using innovative technology such as ZEB, and energy saving devices based on the state's Top Runner Program.",## ◆ Business activities,This is a specific technology/standard-based intervention (ZEB and Top Runner devices) for reducing energy use and emissions in offices/businesses.,Resource Efficiency,False,direct,
individual,,Promote environmentally-friendly business styles by reducing CO2 in products/services and improving electric utility CO2 emission factors through eco-friendly contracts and economic approaches (green purchase/green fund).,"Promote the shift to the environmentally-friendly business style by promoting the reduction of carbon dioxide in  product/services,  and  by  improving  carbon  dioxide  emission  factors  of  electric  utilities  through  the promotion of eco-friendly contracts and economic approaches such as green purchase/green fund, etc.",## ◆ Business activities,"This is a concrete policy direction using procurement/contracting and economic approaches to reduce emissions; it includes named instruments (eco-friendly contracts, green purchase/green fund).",Mitigation,True,direct,
individual,,"Meet business KPIs: Eco Action 21/ISO14001 introductions 500 by FY2020 and 1,000 by FY2030; office LED lighting 88.1% by FY2020 and almost 100% by FY2030; BEMS adoption 13% by FY2020 and 47% by FY2030.","| No. of introductions of Eco Action 21 and ISO14001 (total)              | 370 (FY2015)     | 500                   | 1,000               |
| Rate of offices that use LED lights for lighting                        | 52.5% (FY2016)   | 88.1%                 | Almost100%          |
| Rate of offices that introduce Business Energy Management System (BEMS) | 2.8% (FY2016)    | 13%                   | 47%                 |",## ◇ Key Performance Indicator (KPI),"These are quantified KPI targets for business decarbonization/efficiency actions, constituting concrete commitments.",Resource Efficiency,False,direct,
individual,,"Promote eco-driving and public transport use, and reduce food miles through local food production for local consumption.","Promote the eco-driving and use of public transport, etc., as well as local food production for local consumption for food miles reduction, etc.",## ◆ Transport,"This specifies behavioral and modal-shift interventions (eco-driving, public transport, food miles reduction) that reduce transport-related emissions.",Mitigation,False,direct,
individual,,Promote introduction of next generation vehicles such as electric vehicles and clean diesel cars.,Promote introduction of next generation vehicles such as electric vehicles and clean diesel cars.,## ◆ Transport,This is a specific technology adoption policy for transport decarbonization.,Mitigation,False,direct,
individual,,"Make transport smart and low-carbon by enhancing public transport, preparing bicycle/pedestrian networks, and improving roads to alleviate traffic congestion.","Make  transport smart and  low-carbon by enhancing  public transport as well as by preparing the bicycle/pedestrian network as well as promoting road improvement for alleviating traffic congestion, etc.",## ◆ Transport,"This commits to infrastructure/system changes (public transport, active mobility networks, congestion relief) that reduce emissions.",Mitigation,False,direct,
