location,role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,is_financial_instrument,climate_relevance,secondary_category
Austin_US,individual,,Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.,Overall Goal: Austin will achieve net-zero community-wide greenhouse gas emissions by 2040,GOALS AND STRATEGIES LIST,Quantified community-wide GHG target with a 2040 deadline.,Mitigation,False,direct,
Austin_US,individual,,Create green jobs and entrepreneurship opportunities that advance the Climate Equity Plan.,OS.1: Green Jobs and Entrepreneurship,Overarching Strategies (OS),Official named workforce and green-economy strategy supporting climate implementation.,Mitigation,False,direct,
Austin_US,individual,,Prioritize local community initiatives that help achieve the plan's climate goals.,OS.2: Prioritize Local Community Initiatives,Overarching Strategies (OS),Official named strategy to support local implementation initiatives; broad but part of the adopted strategy list.,Resource Efficiency,False,direct,
Austin_US,individual,,Create regional climate collaboration to implement adopted climate plans and coordinate climate action.,OS.3: Regional Collaboration,Overarching Strategies (OS),Official governance strategy for climate-plan implementation.,Mitigation,False,direct,
Austin_US,individual,,"Use local carbon reduction projects, carbon dioxide removal, and carbon offsets where necessary.","OS.4: Local Carbon Reduction Projects, Carbon Dioxide Removal, and Carbon Offsets",Overarching Strategies (OS),"Official mitigation strategy involving carbon reduction, removals, and offset instruments.",Mitigation,True,direct,
Austin_US,parent,,"Achieve net-zero carbon for all new buildings, reduce emissions from existing buildings by 25%, and lower natural gas-related emissions by 30%.","SB, Goal 1 (SB.G1): Achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30%.",Sustainable Buildings (SB),Official quantified building decarbonization goal with sub-strategies.,Mitigation,False,direct,Resource Efficiency
Austin_US,sub,SB.G1: Achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings.,Ensure sustainable-building benefits flow to low-income communities and communities of color.,- SB.G1-S1: Ensure benefits flow to low-income communities and communities of color,Sustainable Buildings (SB),Official named sub-strategy under the parent goal.,Resource Efficiency,False,direct,
Austin_US,sub,SB.G1: Achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings.,Enhance understanding of building energy consumption.,- SB.G1-S2: Enhance understanding of energy consumption,Sustainable Buildings (SB),Official named sub-strategy under the parent goal.,Resource Efficiency,False,direct,
Austin_US,sub,SB.G1: Achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings.,"Achieve energy-efficient, net-zero carbon buildings.","- SB.G1-S3: Achieve energy-efficient, net-zero carbon buildings",Sustainable Buildings (SB),Official named building decarbonization and efficiency sub-strategy.,Mitigation,False,direct,Resource Efficiency
Austin_US,sub,SB.G1: Achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings.,Ensure equitable workforce development for emerging sustainable-building technologies.,- SB.G1-S4: Ensure equitable workforce development for emerging technologies,Sustainable Buildings (SB),Official workforce sub-strategy tied to building decarbonization technologies.,Mitigation,False,direct,
Austin_US,parent,,Reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.,"SB, Goal 2 (SB.G2): Reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.",Sustainable Buildings (SB),Official quantified refrigerant GHG reduction goal with sub-strategies.,Mitigation,False,direct,
Austin_US,sub,SB.G2: Reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.,Capture and destroy old refrigerants.,- SB.G2-S1: Capture and destroy old refrigerants,Sustainable Buildings (SB),Official intervention targeting high-GWP refrigerants.,Mitigation,False,direct,
Austin_US,sub,SB.G2: Reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.,Improve building codes to encourage cleaner refrigerants.,- SB.G2-S2: Improve building codes to encourage cleaner refrigerants,Sustainable Buildings (SB),Official code-based refrigerant management sub-strategy.,Mitigation,False,direct,
Austin_US,sub,SB.G2: Reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.,Create incentives for refrigerant leak detection and repair.,- SB.G2-S3: Create incentives for leak detection and repair,Sustainable Buildings (SB),Official incentive-based refrigerant leak reduction sub-strategy.,Mitigation,True,direct,
Austin_US,sub,SB.G2: Reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.,Provide awareness and training for HVAC service providers.,- SB.G2-S4: Awareness and training for HVAC service providers,Sustainable Buildings (SB),Official training sub-strategy supporting refrigerant management.,Mitigation,False,direct,
Austin_US,sub,SB.G2: Reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.,Reduce the volume of refrigerants used.,- SB.G2-S5: Reduce the volume of refrigerants,Sustainable Buildings (SB),Official material-use reduction sub-strategy for refrigerants.,Mitigation,False,direct,Resource Efficiency
Austin_US,parent,,Reduce embodied carbon in local construction materials by 40%.,"SB, Goal 3 (SB.G3): Reduce the embodied carbon footprint of building materials used in local construction by 40%.",Sustainable Buildings (SB),Official quantified embodied-carbon goal with sub-strategies.,Mitigation,False,direct,
Austin_US,sub,SB.G3: Reduce the embodied carbon footprint of building materials used in local construction by 40%.,Lead by example through design and construction standards.,- SB.G3-S1: Lead by example through design and construction standards,Sustainable Buildings (SB),Official standards-based embodied-carbon reduction sub-strategy.,Mitigation,False,direct,
Austin_US,sub,SB.G3: Reduce the embodied carbon footprint of building materials used in local construction by 40%.,Incentivize lower-carbon building materials.,- SB.G3-S2: Incentivize lower-carbon materials,Sustainable Buildings (SB),Official incentive sub-strategy for embodied-carbon reduction.,Mitigation,True,direct,
Austin_US,sub,SB.G3: Reduce the embodied carbon footprint of building materials used in local construction by 40%.,Educate stakeholders on materials best practices.,- SB.G3-S3: Educate stakeholders on materials best practices,Sustainable Buildings (SB),Official education sub-strategy to reduce embodied-carbon impacts.,Mitigation,False,direct,
Austin_US,sub,SB.G3: Reduce the embodied carbon footprint of building materials used in local construction by 40%.,Stimulate decarbonization with local producers.,- SB.G3-S4: Stimulate decarbonization with local producers,Sustainable Buildings (SB),Official local producer decarbonization sub-strategy for building materials.,Mitigation,False,direct,
Austin_US,parent,,"Equitably achieve community-wide water demand of approximately 152,000 acre-feet per year.","SB, Goal 4 (SB.G4): Equitably achieve a community-wide water demand of approximately 152,000 acre-feet per year.",Sustainable Buildings (SB),Official quantified water-demand goal with sub-strategies.,Resource Efficiency,False,direct,
Austin_US,sub,"SB.G4: Equitably achieve community-wide water demand of approximately 152,000 acre-feet per year.",Engage residents in water-efficiency technological transitions and conservation programs.,"- SB.G4-S1: Engage residents in water efficiency technological transitions, and conservation programs",Sustainable Buildings (SB),Official water efficiency and conservation sub-strategy.,Resource Efficiency,False,direct,
Austin_US,sub,"SB.G4: Equitably achieve community-wide water demand of approximately 152,000 acre-feet per year.","Evaluate water conservation, customer assistance, and workforce development participation criteria.","- SB.G4-S2: Evaluate water conservation, customer assistance, and workforce development program participation criteria",Sustainable Buildings (SB),Official program eligibility/access reform sub-strategy for water conservation.,Resource Efficiency,False,direct,
Austin_US,sub,"SB.G4: Equitably achieve community-wide water demand of approximately 152,000 acre-feet per year.",Reduce emissions at the water-energy nexus.,- SB.G4-S3: Reduce emissions at the water-energy nexus,Sustainable Buildings (SB),Official water-energy nexus sub-strategy with explicit emissions reduction.,Resource Efficiency,False,direct,Mitigation
Chicago_US,individual,,Chicago will achieve a 62% GHG reduction goal without counting offset credits.,"Chicago will not count offset credits toward its 62% GHG reduction goal achievement. Furthermore, the City will reduce its own emissions before taking action beyond its borders.",The Role of Offsets,Quantified GHG target and offset-accounting rule.,Mitigation,False,direct,
Chicago_US,individual,,Chicago will assess in-city carbon removal and storage options including urban forestry and soil management.,"to remove and store carbon within City limits, including urban forestry and soil management. This assessment will include the evaluation of climate resiliency benefits, support for historically over -burdened communities, and other environmental justice impacts.",The Role of Offsets,Specific carbon removal assessment with nature-based mechanisms.,Mitigation,False,direct,Nature-Based Solutions
Chicago_US,parent,,Retrofit buildings.,"We will not be able to achieve our climate goals without an aggressive approach that reduces overall building energy use and carbon emissions. In 2017, energy use in Chicago's buildings accounted for 70% of the city's carbon footprint.",RETROFIT BUILDINGS,Named initiative with multiple quantified retrofit sub-actions.,Resource Efficiency,False,direct,Mitigation
Chicago_US,sub,Retrofit buildings,Retrofit residential buildings with 4 or fewer units: 20% by 2030 and 50% by 2040.,"| 1.1.A | Retrofit residentialbuildingswith4orfewerunits:20%by2030and50% by 2040, prioritizing lower- and middle-income households |",IMPLEMENTATION TABLE,Quantified retrofit target with deadlines.,Resource Efficiency,False,direct,
Chicago_US,sub,Retrofit buildings,Retrofit 20% of total 5+ unit residential buildings by 2030.,| 1.1.B | Retrofit 20%of total 5+ unit residential buildings by 2030 |,IMPLEMENTATION TABLE,Quantified retrofit target with deadline.,Resource Efficiency,False,direct,
