metric,value
composite_score,0.2052
extraction_f1,0.0388
extraction_precision,0.2222
extraction_recall,0.0213
role_agreement,0.25
parent_attribution_accuracy,0.0
primary_cat_agreement,0.625
financial_instrument_agreement,0.375
secondary_category_agreement,0.0
plus_one_coverage,0.0213
matched,8
unmatched_ext,1
unmatched_gt,86
Mitigation_score,-0.9032
Mitigation_recall,0.0323
Mitigation_fpr,0.6667
Adaptation_score,-1.0
Adaptation_recall,0.0
Adaptation_fpr,1.0
Resource_Efficiency_score,-0.8333
Resource_Efficiency_recall,0.0
Resource_Efficiency_fpr,1.0
Nature_Based_Solutions_score,-1.0
Nature_Based_Solutions_recall,0.0
Nature_Based_Solutions_fpr,0.0
