role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,is_financial_instrument,climate_relevance,secondary_category
individual,,Set Long-term Target greenhouse gas reduction target: Compared to FY2013 ▲ 80% by FY2050.,"## 2. Reduction target for greenhouse gas emissions To establish the reduction target of greenhouse gas emissions, the city will set the long-term target based on the national government's target, keeping in mind the city Hiroshima aims to become. This will follow by the mid-term and short-term targets increasing the reduction effect estimated from concrete measures, etc..",2. Reduction target for greenhouse gas emissions,Quantified GHG reduction target with base year FY2013 and a specified target year.,Mitigation,False,direct,
individual,,Set Mid-term Target greenhouse gas reduction target: Compared to FY2013 ▲ 30% by FY2030.,"## 2. Reduction target for greenhouse gas emissions To establish the reduction target of greenhouse gas emissions, the city will set the long-term target based on the national government's target, keeping in mind the city Hiroshima aims to become. This will follow by the mid-term and short-term targets increasing the reduction effect estimated from concrete measures, etc..",2. Reduction target for greenhouse gas emissions,Quantified GHG reduction target with base year FY2013 and a specified target year.,Mitigation,False,direct,
individual,,Set Short-term Target greenhouse gas reduction target: Compared to FY2013 ▲ 5% (Compared to FY2005 ▲ 7%) by FY2020.,"## 2. Reduction target for greenhouse gas emissions To establish the reduction target of greenhouse gas emissions, the city will set the long-term target based on the national government's target, keeping in mind the city Hiroshima aims to become. This will follow by the mid-term and short-term targets increasing the reduction effect estimated from concrete measures, etc..",2. Reduction target for greenhouse gas emissions,Quantified GHG reduction target with base year FY2013 and a specified target year.,Mitigation,False,direct,
parent,,Implement measures under ◆ Household 1).,"Promotion of development of environmentally-friendly people and offices (Change of Values). Take measures to promote energy saving actions and environment-related learning/education by global warming prevention campaign, etc. Promotion of large-scale introduction of innovative technology (Change of Action).",◆ Household,Umbrella numbered initiative under a scenario with multiple specific sub-actions listed beneath it.,Mitigation,False,direct,
sub,◆ Household 1),"Promotion of development of environmentally-friendly people and offices (Change of Values) Take measures to promote energy saving actions and environment-related learning/education by global warming prevention campaign, etc.","Promotion of development of environmentally-friendly people and offices (Change of Values). Take measures to promote energy saving actions and environment-related learning/education by global warming prevention campaign, etc.",◆ Household,Specific action commitment listed under a numbered mitigation initiative (bullet + implementation text).,Resource Efficiency,False,direct,
sub,◆ Household 1),"Promotion of large-scale introduction of innovative technology (Change of Action) Take measures to promote the introduction of low-carbon houses with high energy-saving effect using innovative technology such as Net Zero Energy House (hereinafter called 'ZEH') and Net Zero Energy Building (hereinafter called 'ZEB'), and energy saving devices based on the state's Top Runner Program.","Promotion of large-scale introduction of innovative technology (Change of Action). Take measures to promote the introduction of low-carbon houses with high energy-saving effect using innovative technology such as Net Zero Energy House (hereinafter called 'ZEH') and Net Zero Energy Building (hereinafter called 'ZEB'), and energy saving devices based on the state's Top Runner Program.",◆ Household,Specific action commitment listed under a numbered mitigation initiative (bullet + implementation text).,Resource Efficiency,False,direct,
parent,,Implement measures under ◆ Business activities 2).,"3) Promotion of development of low-carbon city (Change of Social System). Promote the shift to the environmentally-friendly business style by promoting the reduction of carbon dioxide in product/services, and by improving carbon dioxide emission factors of electric utilities through the promotion of eco-friendly contracts and economic approaches such as green purchase/green fund, etc.",◆ Business activities,Umbrella numbered initiative under a scenario with multiple specific sub-actions listed beneath it.,Mitigation,False,direct,
sub,◆ Business activities 2),"3) Promotion of development of low-carbon city (Change of Social System) Promote the shift to the environmentally-friendly business style by promoting the reduction of carbon dioxide in product/services, and by improving carbon dioxide emission factors of electric utilities through the promotion of eco-friendly contracts and economic approaches such as green purchase/green fund, etc.","3) Promotion of development of low-carbon city (Change of Social System). Promote the shift to the environmentally-friendly business style by promoting the reduction of carbon dioxide in product/services, and by improving carbon dioxide emission factors of electric utilities through the promotion of eco-friendly contracts and economic approaches such as green purchase/green fund, etc.",◆ Business activities,Specific action commitment listed under a numbered mitigation initiative (bullet + implementation text).,Mitigation,False,direct,
parent,,Implement measures under ◆ Transport 3).,Promotion of large-scale introduction of innovative technology (Change of Action). Promote introduction of next generation vehicles such as electric vehicles and clean diesel cars.,◆ Transport,Umbrella numbered initiative under a scenario with multiple specific sub-actions listed beneath it.,Mitigation,False,direct,
sub,◆ Transport 3),Promotion of large-scale introduction of innovative technology (Change of Action) Promote introduction of next generation vehicles such as electric vehicles and clean diesel cars.,Promotion of large-scale introduction of innovative technology (Change of Action). Promote introduction of next generation vehicles such as electric vehicles and clean diesel cars.,◆ Transport,Specific action commitment listed under a numbered mitigation initiative (bullet + implementation text).,Mitigation,False,indirect,
parent,,Implement adaptation measure: Creating an environment to promote understanding of climate change and its effect.,"## 1) Creating an environment to promote understanding of climate change and its effect Promote the creation of an environment for more accurate understanding of climate change and its effect. ## ◇ Main measures - -New Publicity and education using the city's PR magazine 'Hiroshima Citizens and Municipal Government' and the city website, - -New Preparation of sub-readings available for school education, - -New Delivery lecture by the city and Hiroshima City Global Warming Countermeasure Regional Council, etc.",3. Concrete measures,Named adaptation measure with listed main measures beneath it.,Adaptation,False,direct,
sub,Adaptation 1) Creating an environment to promote understanding of climate change and its effect,New Publicity and education using the city's PR magazine 'Hiroshima Citizens and Municipal Government' and the city website.,"New Publicity and education using the city's PR magazine 'Hiroshima Citizens and Municipal Government' and the city website. - -New Preparation of sub-readings available for school education, - -New Delivery lecture by the city and Hiroshima City Global Warming Countermeasure Regional Council, etc.",3. Concrete measures,Specific adaptation action listed under a concrete adaptation measure.,Adaptation,False,direct,
sub,Adaptation 1) Creating an environment to promote understanding of climate change and its effect,New Preparation of sub-readings available for school education.,"New Preparation of sub-readings available for school education. - -New Delivery lecture by the city and Hiroshima City Global Warming Countermeasure Regional Council, etc.",3. Concrete measures,Specific adaptation action listed under a concrete adaptation measure.,Adaptation,False,direct,
parent,,Implement adaptation measure: Building resilience against climate change.,"## 2) Building resilience against climate change The city will advance measures in 7 areas in which 'the state's adaptation plan' will be adopted according to natural/economic/social conditions; particularly, the city will focus on the items of 'natural disaster/coast area', 'health' and 'people's life/city life' whose damage by climate change has become obvious in the city. There are many measures that have already been implemented from the viewpoints of disaster prevention and healthcare; however, they will be advanced with the additional 'adaptation' viewpoint. We choose the effective measures for adaptation from the 'City creation of prevention of disaster / decrease disaster' in the comprehensive creation strategy 'Hiroshima, the 'city' we can be proud of in the world' prepared in FY2015; based on these measures, the city will conduct the steady promotion.",3. Concrete measures,Named adaptation measure with listed main measures beneath it.,Adaptation,False,direct,
