location,role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,is_financial_instrument,climate_relevance,secondary_category
Austin_US,individual,,Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.,"Austin will achieve net-zero community-wide greenhouse gas emissions by 2040. The Climate Equity Plan's Steering Committee has challenged us to accelerate our climate goals, endorsing the new goal of equitably reaching netzero community-wide greenhouse gas emissions by 2040, utilizing a steep decline path, followed by negative emissions.",NEW EMISSIONS GOAL FOR AUSTIN,"This is a quantifiable, time-bound greenhouse gas reduction target adopted as the central goal of the plan.",Mitigation,False,direct,
Austin_US,parent,,Implement cross-cutting overarching strategies to support the Climate Equity Plan across all sectors.,"While creating the Climate Equity Plan, a few issues arose across Advisory Groups that didn't fit in one category but are essential to the plan's success. The following overarching strategies touch all areas of this plan.",III. OVERARCHING STRATEGIES,"This is an umbrella set of numbered strategies that support plan implementation across sectors, so it is extracted as a parent initiative.",Mitigation,False,direct,
Austin_US,sub,Overarching Strategies,Create green jobs and entrepreneurship opportunities that advance the Climate Equity Plan and benefit low-income communities and communities of color.,"Create green jobs and entrepreneurship opportunities that advance the goals of this plan, expand economic opportunity and inclusion, and build agency and decision-making power in low-income communities and communities of color. Ensure an adequately educated workforce to install and maintain new and existing green technologies and solutions through a skill-up training program specifically focused on low-income communities and communities of color.",Strategy 1: Green jobs and entrepreneurship,This is a specific workforce and entrepreneurship program commitment tied to implementing climate technologies and solutions.,Mitigation,False,direct,
Austin_US,sub,Overarching Strategies,Support community-led initiatives that build a green and just circular economy and reduce waste and pollution.,"Recognize and support existing community-led organizations, businesses, and programs that can help achieve the goals in this plan while building a green and just economy and culture. Lift up these initiatives as models and support new efforts that prioritize local investment, design out waste and pollution, promote the local exchange of ideas, goods, and services, and restore our people, land, water, and air to full health.",Strategy 2: Prioritize local community initiatives,This is a named implementation strategy supporting existing community programs and new circular-economy efforts.,Resource Efficiency,False,direct,
Austin_US,sub,Overarching Strategies,Create a Texas Climate Collaborative and work with regional governments and organizations to implement climate plans and policies.,"Create a Texas Climate Collaborative linking elected officials, City staff, and utility staff working to implement recently adopted climate plans in San Antonio, Houston, Dallas, and Austin. Work with cities across the state and neighboring cities, such as Round Rock, Cedar Park, Buda, Pflugerville, San Marcos, and Kyle, and the five-county governments: Travis, Williamson, Hays, Bastrop, and Caldwell.",Strategy 3: Regional collaboration,This creates a specific regional collaboration mechanism to implement climate plans and advance policy changes.,Mitigation,False,direct,
Austin_US,sub,Overarching Strategies,"Prioritize local emissions reductions, carbon dioxide removal, and limited carbon offsets to help meet Austin's net-zero target.","Purchasing lower-cost carbon offsets - sometimes called 'carbon credits' - may be an option to cancel out direct emissions to achieve the net-zero greenhouse gas emissions target by 2040. For any given year, carbon offsets should constitute no more than 10% of the baseline.","Strategy 4: Local carbon reduction projects, carbon dioxide removal, and carbon offsets","This is a specific climate mitigation policy governing use of local carbon projects, carbon dioxide removal, and offsets, including a quantitative 10% cap.",Mitigation,True,direct,Nature-Based Solutions
Austin_US,parent,,"By 2030, achieve net-zero carbon for all new buildings, reduce existing building emissions 25%, and lower natural-gas-related emissions 30%.","By 2030, achieve net-zero carbon* for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30%. For this goal, net-zero carbon implies operational carbon, which refers to the CO 2 emitted from operations, such as lighting and heating, during the in-use phase of a building.",SUSTAINABLE BUILDINGS,"This is a quantified 2030 building decarbonization target with sub-strategies listed below it, so it is a parent policy.",Mitigation,False,direct,Resource Efficiency
Austin_US,sub,"By 2030, achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30%.","Pursue an energy poverty mitigation strategy so building repair, conservation, and renewable energy benefits flow to low-income communities and communities of color.","Pursue a comprehensive energy poverty mitigation strategy by partnering with trusted community organizations, affordable housing developers, and schools in equitable outreach and program development. Programs should focus on energy burden reduction, improved air quality, neighborhood resilience during extreme weather, and increased passive survivability of buildings.",Strategy 1: Ensure benefits flow to low-income communities and communities of color,"This establishes a specific outreach and program-development strategy for building energy poverty, resilience, and emissions benefits.",Resource Efficiency,False,direct,Adaptation
Austin_US,sub,"By 2030, achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30%.","Expand outreach, benchmarking, and utility data access to improve understanding of building energy savings opportunities and climate impacts.","Enhance resident and building owner understanding of energy savings opportunities, benefits, and climate impacts of energy consumption. This will be done through direct outreach, culturally relevant communications, expanding benchmarking requirements for all existing buildings, and better access to energy and water data.",Strategy 2: Enhance understanding of energy consumption,"This is a specific information, benchmarking, and data-access intervention to reduce building energy use.",Resource Efficiency,False,direct,
Austin_US,sub,"By 2030, achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30%.","Use building codes, incentives, education, electrification, efficiency, distributed generation, and utility collaboration to achieve net-zero carbon buildings.","Achieve goal milestones for net-zero carbon buildings through new building energy codes, amendments, and other methods. Engage owners and operators of existing buildings to decarbonize through incentives and education for contractors and occupants.","Strategy 3: Achieve energy-efficient, net-zero carbon buildings",This includes binding code changes and specific interventions for building decarbonization and efficiency.,Mitigation,False,direct,Resource Efficiency
Austin_US,sub,"By 2030, achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30%.",Invest in equitable workforce development and training for emerging building emissions-reduction technologies.,"Prioritize investment in local emissions reduction and create equitable workforce development and training opportunities for emerging technologies by partnering with local unions, education, and advocacy organizations that serve low-income communities and communities of color. Increasing these opportunities can positively impact families, aid in relationship building, and support community capacity to drive decision-making in future projects and programs.",Strategy 4: Ensure equitable workforce development for emerging technologies,This is a specific workforce-development commitment tied to emissions-reduction technologies.,Mitigation,False,direct,
